# CONSTRAINT:  where (gaia_id not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and default_flag = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and sy_snum = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_controv_flag = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and ttv_flag = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_trandep not null),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_name,hostname,gaia_id,default_flag,sy_snum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,st_teff,st_tefferr1,st_tefferr2,st_met,st_meterr1,st_meterr2,ra,dec
BD+20 594 b,BD+20 594,Gaia DR2 58200934326315136,1,1,0,41.6855,0.003,-0.003,,,,22.2481,9.5349,-9.5349,0,,,89.55,0.16,-0.16,0,,,,0.049,0.0025,-0.0025,5766,99,-99,-0.15,,,53.6511231,20.5990205
CoRoT-1 b,CoRoT-1,Gaia DR2 3105507886130792448,1,1,0,1.5089557,0.0000064,-0.0000064,,,,327.35,38.14,-38.14,0,,,85.1,0.5,-0.5,0,,,,1.92654,0.058737,-0.057855,5950,150,-150,-0.3,0.25,-0.25,102.0798591,-3.1021394
CoRoT-10 b,CoRoT-10,Gaia DR2 4263752921128319616,1,1,0,13.2406,0.0002,-0.0002,0.1055,0.0021,-0.0021,874,50.85,-50.85,0.53,0.04,-0.04,88.55,0.2,-0.2,0,0.85,0.03,-0.03,1.61036,0.097888,-0.095,5075,75,-75,0.26,0.07,-0.07,291.0636813,0.7460143
CoRoT-11 b,CoRoT-11,Gaia DR2 4285511294172309504,1,1,0,2.99433,0.000011,-0.000011,0.0436,0.005,-0.005,740.51,108.06,-108.06,0,,,83.17,0.15,-0.15,0,0.818,0.008,-0.008,1.1449,0.010725,-0.010675,6440,120,-120,-0.03,0.08,-0.08,280.6872998,5.9376586
CoRoT-12 b,CoRoT-12,Gaia DR2 3107255598526406912,1,1,0,2.828042,0.000013,-0.000013,0.04016,0.00093,-0.00092,291.438,22.247,-20.658,0.07,0.063,-0.042,85.48,0.72,-0.77,0,0.573,0.027,-0.03,1.744,0.039,-0.04,5675,80,-80,0.16,0.1,-0.1,100.7656871,-1.2964437
CoRoT-16 b,CoRoT-16,Gaia DR2 4256135160951556480,1,1,0,5.35227,0.0002,-0.0002,0.0618,0.0015,-0.0015,170.032,27.014,-26.379,0.33,0.09,-0.1,85.01,0.94,-1.2,0,0.825,0.03,-0.039,1.02,0.095,-0.092,5650,100,-100,0.19,0.06,-0.06,278.5246658,-6.0026026
CoRoT-17 b,CoRoT-17,Gaia DR2 4255957040079935488,1,1,0,3.7681,0.0003,-0.0003,0.0461,0.0008,-0.0008,772.29,95.34,-95.34,0,,,88.34,1.54,-1.54,0,0.18,0.16,-0.16,0.44,,,5740,80,-80,0,0.1,-0.1,278.699236,-6.612288
CoRoT-36 b,CoRoT-36,Gaia DR2 4477340334766250496,1,1,0,5.616531,0.000023,-0.000023,0.066,0.007,-0.007,216.12332,149.37935,-136.66622,0,,,85.83,0.26,-0.26,0,0.573,0.023,-0.025,1.01,0.011,-0.011,6730,140,-140,-0.1,0.1,-0.1,277.7510149,7.1833465
CoRoT-5 b,CoRoT-5,Gaia DR2 3125611120515388800,1,1,0,4.0378962,0.0000019,-0.0000019,0.04947,0.00026,-0.00029,148.42,14.937,-7.628,0.09,0.09,-0.04,85.83,0.99,-1.38,0,0.755,0.017,-0.022,1.461,0.03,-0.032,6100,65,-65,-0.25,0.06,-0.06,101.2772396,0.8152163
CoRoT-7 b,CoRoT-7,Gaia DR2 3107267177757848576,1,1,0,0.85359163,0.00000001,-0.00000001,,,,4.07661,1.01982,-1.01982,0,,,80.1,0.3,-0.3,0,,,,0.035,0.0011,-0.0011,5275,75,-75,0.05,,,100.9561682,-1.0630076
CoRoT-8 b,CoRoT-8,Gaia DR2 4287832775526476800,1,1,0,6.21229,0.00003,-0.00003,0.063,0.001,-0.001,69.92,9.53,-9.53,0,,,88.4,0.1,-0.1,0,0.49,0.04,-0.04,0.651,0.007,-0.007,5080,80,-80,0.3,0.1,-0.1,291.5885696,1.4262972
CoRoTID 223977153 b,CoRoTID 223977153,Gaia DR2 3326541506073371776,1,1,0,6.71837,0.00001,-0.00001,0.071,0.001,-0.001,47.6745,31.783,-31.783,,,,89,0.5,-0.5,0,0.4,0.1,-0.2,0.29,0.02,-0.02,5970,100,-100,0,0.2,-0.2,100.1951714,9.2573953
EPIC 212737443 b,EPIC 212737443,Gaia DR2 3630680754621236096,1,1,0,13.603,0.0013,-0.0013,0.098,0.004,-0.004,,,,0.2,0.2,-0.2,89.071,0.161,-0.161,0,0.479,0.101,-0.101,0.11,,,4684,79,-79,-0.137,0.127,-0.127,204.2215065,-7.3180577
