designation,source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,radial_velocity,radial_velocity_error,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
"Gaia DR3 58200934326315136",58200934326315136,53.65112853813434,20.59901333282649,5.638417858323379,0.014320245,10.86654,-19.849663,0.31223834,5804.169,5731.592,5910.8877,-0.0315,-0.1035,0.0637,"Gaia DR2 58200934326315136",53.6511231377276,20.59902045003569,5.5437,36.5714,-51.3647,-19.9405,2015.5,2.946865545186991E-8
"Gaia DR3 3105507886130792448",3105507886130792448,102.07985829449773,-3.1021393407606364,1.3000094915494622,0.016687661,13.445355,25.292038,3.3389153,6299.214,6289.9395,6310.1235,-0.3325,-0.3405,-0.322,"Gaia DR2 3105507886130792448",102.07985912455615,-3.10213942860072,1.2418,-6.0146,0.5471,0.0,2015.5,1.3528267361789134E-8
"Gaia DR3 4263752921128319616",4263752921128319616,291.06368086553215,0.7460111582459029,2.913183753811996,0.025954561,14.648624,19.032045,4.529188,4772.0527,4750.037,4808.0864,-0.0432,-0.0643,-0.0158,"Gaia DR2 4263752921128319616",291.0636813130095,0.7460143169560396,2.9269,-3.1964,-22.735,0.0,2015.5,3.655493887578915E-9
"Gaia DR3 4285511294172309504",4285511294172309504,280.6873000576669,5.937657775709484,1.5338882406466199,0.014435835,12.83414,9.265685,3.3774703,6248.989,6232.6636,6265.9863,-0.2372,-0.2513,-0.2238,"Gaia DR2 4285511294172309504",280.6872997675918,5.937658587935512,1.5007,1.9187,-5.2417,40.1542,2015.5,8.704669965811049E-8
"Gaia DR3 3107255598526406912",3107255598526406912,100.76568737114494,-1.2964442083205647,0.8740815887138829,0.03150511,15.331723,,,5245.569,5207.214,5285.968,-0.4875,-0.5353,-0.4441,"Gaia DR2 3107255598526406912",100.76568712742342,-1.2964437387650372,0.8612,1.6942,-3.4749,0.0,2015.5,1.5511070087660546E-8
"Gaia DR3 4256135160951556480",4256135160951556480,278.52466597182297,-6.002603758011297,1.3007061064779692,0.04421247,15.636199,,,5019.701,4965.66,5075.4146,-0.696,-0.761,-0.6234,"Gaia DR2 4256135160951556480",278.52466582680046,-6.0026026213753285,1.3406,0.9365,-8.0433,0.0,2015.5,2.410649630280137E-8
"Gaia DR3 4255957040079935488",4255957040079935488,278.6992353859489,-6.6122890833471635,0.8477913215900311,0.032983057,15.418708,,,5279.8193,5246.332,5305.2974,-0.3004,-0.3324,-0.2672,"Gaia DR2 4255957040079935488",278.69923599324727,-6.612287968780826,0.8234,-4.5411,-8.0503,0.0,2015.5,2.7675861794565967E-8
"Gaia DR3 4477340334766250496",4477340334766250496,277.751015108498,7.183345910755835,1.0192481024536544,0.014985282,12.940691,11.128748,2.6034667,,,,,,,"Gaia DR2 4477340334766250496",277.7510149432946,7.183346488995534,1.0523,0.9868,-3.9781,0.0,2015.5,3.718606560584321E-8
"Gaia DR3 3125611120515388800",3125611120515388800,101.27723921541279,0.8152151398645294,1.1535453167416783,0.018794024,13.8898,46.3843,5.6801577,6189.955,6172.486,6222.2534,-0.3242,-0.3345,-0.3119,"Gaia DR2 3125611120515388800",101.27723964403579,0.815216271251486,1.1054,-3.0708,-8.2782,0.0,2015.5,1.8480427034878952E-8
"Gaia DR3 3107267177757848576",3107267177757848576,100.95616972793913,-1.0630075792826124,6.267554809898366,0.013850894,11.519906,31.048172,0.5354675,5351.1714,5341.9404,5362.841,0.155,0.1477,0.1666,"Gaia DR2 3107267177757848576",100.95616820313779,-1.0630076289808739,6.225,10.9604,-0.1075,31.3913,2015.5,6.466836305266895E-8
