pl_name,gaia_id,default_flag,sy_snum,sy_pnum,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_rvamp,pl_rvamperr1,pl_rvamperr2,ra,dec
BD+20 594 b,Gaia DR2 58200934326315136,1,1,1,K2,0,41.6855,0.003,-0.003,,,,2.578,0.112,-0.112,,,,0,,,89.55,0.16,-0.16,0,,,,0.049,0.0025,-0.0025,,,,3.1,1.1,-1.1,53.6511231,20.5990205
CoRoT-1 b,Gaia DR2 3105507886130792448,1,1,1,CoRoT,0,1.5089557,0.0000064,-0.0000064,,,,16.7,0.9,-0.9,,,,0,,,85.1,0.5,-0.5,0,,,,1.92654,0.058737,-0.057855,,,,188,11,-11,102.0798591,-3.1021394
CoRoT-10 b,Gaia DR2 4263752921128319616,1,1,1,CoRoT,0,13.2406,0.0002,-0.0002,0.1055,0.0021,-0.0021,10.87,0.78,-0.78,,,,0.53,0.04,-0.04,88.55,0.2,-0.2,0,0.85,0.03,-0.03,1.61036,0.097888,-0.095,218.9,6.4,-6.4,301,10,-10,291.0636813,0.7460143
CoRoT-11 b,Gaia DR2 4285511294172309504,1,1,1,CoRoT,0,2.99433,0.000011,-0.000011,0.0436,0.005,-0.005,16.03,0.34,-0.34,,,,0,,,83.17,0.15,-0.15,0,0.818,0.008,-0.008,1.1449,0.010725,-0.010675,,,,280,40,-40,280.6872998,5.9376586
CoRoT-12 b,Gaia DR2 3107255598526406912,1,1,1,CoRoT,0,2.828042,0.000013,-0.000013,0.04016,0.00093,-0.00092,16.14,1.46,-1.46,,,,0.07,0.063,-0.042,85.48,0.72,-0.77,0,0.573,0.027,-0.03,1.744,0.039,-0.04,105,90,-27,125.5,8,-7.5,100.7656871,-1.2964437
CoRoT-16 b,Gaia DR2 4256135160951556480,1,1,1,CoRoT,0,5.35227,0.0002,-0.0002,0.0618,0.0015,-0.0015,13.11,1.79,-1.57,,,,0.33,0.09,-0.1,85.01,0.94,-1.2,0,0.825,0.03,-0.039,1.02,0.095,-0.092,168.41,22.83,-20.93,61.96,9.47,-9.35,278.5246658,-6.0026026
CoRoT-17 b,Gaia DR2 4255957040079935488,1,1,1,CoRoT,0,3.7681,0.0003,-0.0003,0.0461,0.0008,-0.0008,11.43,0.78,-0.78,,,,0,,,88.34,1.54,-1.54,0,0.18,0.16,-0.16,0.44,,,0,,,312.4,29,-29,278.699236,-6.612288
CoRoT-36 b,Gaia DR2 4477340334766250496,1,1,1,CoRoT,0,5.616531,0.000023,-0.000023,0.066,0.007,-0.007,15.805,1.569,-1.569,,,,0,,,85.83,0.26,-0.26,0,0.573,0.023,-0.025,1.01,0.011,-0.011,,,,65,45,-45,277.7510149,7.1833465
CoRoT-5 b,Gaia DR2 3125611120515388800,1,1,1,CoRoT,0,4.0378962,0.0000019,-0.0000019,0.04947,0.00026,-0.00029,15.558,0.516,-0.527,,,,0.09,0.09,-0.04,85.83,0.99,-1.38,0,0.755,0.017,-0.022,1.461,0.03,-0.032,-128.34,289.34,-48.13,59.1,6.2,-3.1,101.2772396,0.8152163
CoRoT-7 b,Gaia DR2 3107267177757848576,1,1,3,CoRoT,0,0.85359163,0.00000001,-0.00000001,,,,1.681,0.112,-0.112,,,,0,,,80.1,0.3,-0.3,0,,,,0.035,0.0011,-0.0011,,,,3.1,0.7,-0.7,100.9561682,-1.0630076
