source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,phot_variable_flag,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
2131059594280288128,287.3781164112702,0.023096353851480424,47.7711541313886,0.02634889904211683,0.6556035778087869,0.025121279684620933,15.304266,0.9169216,,,0,"NOT_AVAILABLE",5447.0,5400.6665,5522.4805,0.5277,1.3026657,1.2672998,1.3251133,1.3458298,1.2148099,1.4768498,"Gaia DR2 2131059594280288128",287.3781164112702,47.7711541313886,0.6556,4.2987,0.0795,0.0,2015.5,7.105427357601002E-15
2052136821446989568,294.9498381263446,0.01599679622731529,38.60518668814753,0.020971132941892564,0.7944383956611618,0.022345744007116215,14.167404,0.85326004,,,0,"NOT_AVAILABLE",5757.3335,5646.01,5778.6665,0.931,1.6027557,1.5909438,1.6665827,2.542816,2.3549144,2.7307174,"Gaia DR2 2052136821446989568",294.9498381263446,38.60518668814753,0.7944,-1.7299,2.8967,0.0,2015.5,4.498577437078913E-14
2102070660978313472,288.4749028338579,0.013888572949068603,40.65128483041232,0.017006507535887987,0.7561550492168227,0.017070516515706853,13.750554,0.79949856,,,0,"NOT_AVAILABLE",5886.75,5817.0,6243.625,,1.9444643,1.7285324,1.9913749,4.0906944,3.8264048,4.354984,"Gaia DR2 2102070660978313472",288.4749028338579,40.65128483041232,0.7562,8.3223,-12.4998,0.0,2015.5,7.105427357601002E-15
2105414310196331264,282.3775397354857,0.017161869046426068,44.69456898594115,0.017773384265240028,0.9038602207623092,0.01900448485645224,14.216546,0.74202156,,,0,"NOT_AVAILABLE",6272.7695,6046.5864,6518.0,0.2803,1.1489118,1.0640858,1.2364736,1.841219,1.7342881,1.9481498,"Gaia DR2 2105414310196331264",282.3775397354857,44.69456898594115,0.9039,2.8337,-3.0072,0.0,2015.5,4.040806202364806E-14
2080266967444876032,297.04540373634285,0.013832417315102555,46.3286653080928,0.017387021357713483,0.5984856726787825,0.017292419390090828,13.907499,0.8505125,,,0,"NOT_AVAILABLE",5756.0,5712.75,5785.3335,,2.3992438,2.3749754,2.4357095,5.6928086,5.2241244,6.161493,"Gaia DR2 2080266967444876032",297.04540373634285,46.3286653080928,0.5985,-2.9202,-8.6061,0.0,2015.5,0.0
2130368310704421120,287.8872376158347,0.021113727313391104,46.27612243193635,0.023917481096320678,2.1490329026608155,0.025663266840649752,12.802481,0.7633982,1.965563173460064,3.922295673430335,7,"NOT_AVAILABLE",5992.6665,5750.27,6313.0,0.037,1.0192723,0.91845703,1.1070161,1.2071342,1.1820923,1.2321762,"Gaia DR2 2130368310704421120",287.8872376158347,46.27612243193635,2.149,-9.641,-22.2063,1.9656,2015.5,3.9926577333439285E-14
2080466185207274880,295.3427300366674,0.017056026586687385,46.6022134150852,0.01827142660889814,1.0313724497007652,0.01917034984582663,14.861375,0.9280453,,,0,"NOT_AVAILABLE",5472.6665,5436.6665,5796.0,0.1297,1.0044953,0.89554846,1.0178422,0.8154295,0.7736804,0.8571786,"Gaia DR2 2080466185207274880",295.3427300366674,46.6022134150852,1.0314,-0.533,-4.5367,0.0,2015.5,7.105427357601002E-15
2106496607595412480,285.691954977796,0.013751264988638203,45.68939934782581,0.0160777355636104,1.544198358094464,0.016651467220699084,14.020695,0.8229675,,,0,"NOT_AVAILABLE",5816.1475,5790.6475,5865.0,0.0295,0.86291736,0.8486019,0.87053406,0.76767033,0.74377847,0.7915622,"Gaia DR2 2106496607595412480",285.691954977796,45.68939934782581,1.5442,-7.7032,3.5568,0.0,2015.5,4.033856173982253E-14
2106996095111385728,283.2920272677261,0.02391014899096651,45.433981276370346,0.02704288751411797,1.0352710530934617,0.028563052985661957,15.48546,1.0321817,,,0,"NOT_AVAILABLE",5142.0,5011.42,5374.735,0.1137,0.8702697,0.7965333,0.916213,0.4770136,0.44469002,0.5093372,"Gaia DR2 2106996095111385728",283.2920272677261,45.433981276370346,1.0353,-13.5625,-24.3178,0.0,2015.5,7.105427357601002E-15
2101035367703145088,289.74731654009327,0.011144880497955182,39.52341314849844,0.013515934920496369,1.0368156475030144,0.013513396344300585,13.455336,0.64937973,,,0,"NOT_AVAILABLE",6841.0,6501.0,7198.5,0.231,1.1949197,1.07918,1.3231759,2.8174133,2.7050703,2.9297564,"Gaia DR2 2101035367703145088",289.74731654009327,39.52341314849844,1.0368,0.7642,-8.5073,0.0,2015.5,7.105427357601002E-15
2133035966431029376,289.66491712998356,0.02494644709912343,50.02006117408361,0.030199742845412395,0.9933782207075584,0.027463101759513404,15.2460165,0.95008373,,,0,"NOT_AVAILABLE",5408.0,5346.0,5771.37,0.0563,0.8978874,0.78838325,0.91883457,0.62127686,0.5807868,0.6617669,"Gaia DR2 2133035966431029376",289.66491712998356,50.02006117408361,0.9934,-0.009,4.1357,0.0,2015.5,7.105427357601002E-15
2073153024144692736,295.4980736570119,0.014122841727986163,38.644449865999185,0.018208587926321587,0.9570924356830324,0.017853581553902972,13.450831,0.7040987,,,0,"NOT_AVAILABLE",6305.5,6214.8223,6354.5,0.9973,1.5273619,1.5038975,1.5722572,3.322437,3.1477146,3.4971595,"Gaia DR2 2073153024144692736",295.4980736570119,38.644449865999185,0.9571,-6.1505,-13.4116,0.0,2015.5,0.0
2127985806448631808,293.6297645369043,0.02327691931157378,45.74062926887018,0.02799144553645386,0.45535944393681044,0.027128905131545908,15.569529,0.97457504,,,0,"NOT_AVAILABLE",5361.0,5289.0,6231.1445,,1.7223257,1.2748857,1.7695374,2.2075393,1.8802255,2.534853,"Gaia DR2 2127985806448631808",293.6297645369043,45.74062926887018,0.4554,1.0359,-2.8128,0.0,2015.5,0.0
2134850847813263360,296.20055063044106,0.014850357823088566,49.14003043742409,0.02224502376473758,1.3238340682679797,0.02025072575323283,13.713638,0.90748024,,,0,"NOT_AVAILABLE",5549.0,5424.75,5718.0,0.492,1.2864417,1.2115219,1.3460466,1.4136236,1.356671,1.4705762,"Gaia DR2 2134850847813263360",296.20055063044106,49.14003043742409,1.3238,-2.7797,-12.1217,0.0,2015.5,7.105427357601002E-15
2051866238502437632,292.62749434147986,0.019059748527774617,37.86016532109599,0.02333517918319463,2.4884988137068405,0.0256570985254468,11.829154,0.70111275,-26.60451556468202,0.7876879366503332,11,"NOT_AVAILABLE",6269.0,6012.6665,6607.0,0.1357,1.2544843,1.129414,1.3637273,2.1898694,2.1516256,2.2281132,"Gaia DR2 2051866238502437632",292.62749434147986,37.86016532109599,2.4885,7.1745,7.025,-26.6045,2015.5,7.105427357601002E-15
2082161219824397568,300.33234042935067,0.012645125946743175,44.98610646967674,0.015539271365237433,1.0780795016515656,0.014547743028526005,13.280267,0.7633896,,,0,"NOT_AVAILABLE",5496.57,4702.13,6161.0,0.6245,1.9706393,1.5685134,2.6927834,3.1935668,3.063145,3.3239887,"Gaia DR2 2082161219824397568",300.33234042935067,44.98610646967674,1.0781,-6.6241,-8.4494,0.0,2015.5,0.0
2079807646464016256,295.90497947088073,0.026767494588318806,45.405429562345056,0.03693953315710311,1.1291965652429623,0.032145866524079796,15.813741,1.1557302,,,0,"NOT_AVAILABLE",4930.0,4883.0,5016.5,0.2443,0.7626673,0.7365926,0.7774197,0.30956557,0.28852832,0.33060282,"Gaia DR2 2079807646464016256",295.90497947088073,45.405429562345056,1.1292,-4.6449,-0.4141,0.0,2015.5,0.0
2130889204338693504,287.78081152086946,0.015118241336773449,47.629845335301546,0.01813415902482461,1.093873426672693,0.01686371137431035,14.232879,0.772233,,,0,"NOT_AVAILABLE",5941.0,5893.6665,5985.3335,0.112,1.055522,1.0399433,1.0725443,1.2504534,1.1950545,1.3058522,"Gaia DR2 2130889204338693504",287.78081152086946,47.629845335301546,1.0939,-1.7141,-12.306,0.0,2015.5,0.0
2135055391335687680,294.3660312648409,1.0892140576436669,49.91502192093307,1.4244161859373738,,,16.002333,2.2404985,,,0,"NOT_AVAILABLE",3757.6667,3482.0,4179.2075,,,,,,,,"Gaia DR2 2135055391335687680",294.3660312648409,49.91502192093307,0.0,0.0,0.0,0.0,2015.5,7.105427357601002E-15
2105415302330571008,282.1856949301849,0.010103296811631007,44.43446171541739,0.011509633215779354,1.7313087158110685,0.011848539327049299,13.405694,0.8715048,,,0,"NOT_AVAILABLE",5730.0,5518.3896,5937.5,0.277,1.0554013,0.98292327,1.1378949,1.0818036,1.0576149,1.1059922,"Gaia DR2 2105415302330571008",282.1856949301849,44.43446171541739,1.7313,-16.1393,-0.7462,0.0,2015.5,4.058914121473905E-14
2073652546016392448,297.43038260303297,0.02817036905265539,39.84787952980941,0.03362545889320154,1.8123247221020788,0.03551756432158815,15.908843,1.6035805,,,0,"NOT_AVAILABLE",4218.088,4131.4297,4403.187,0.616,0.71003324,0.6515919,0.74013203,0.14378533,0.13720416,0.1503665,"Gaia DR2 2073652546016392448",297.43038260303297,39.84787952980941,1.8123,1.4836,5.2875,0.0,2015.5,7.105427357601002E-15
2076185408488670208,295.1640094502695,0.018028046408882167,39.201402390419204,0.020722578238213364,1.1630760963343985,0.022063155299171435,15.071491,1.0166893,,,0,"NOT_AVAILABLE",5167.8975,4922.8677,5328.0,0.177,0.92587507,0.87106735,1.0203375,0.5508775,0.52331734,0.5784377,"Gaia DR2 2076185408488670208",295.1640094502694,39.201402390419204,1.1631,4.0094,-1.6979,0.0,2015.5,4.404961479816242E-14
2103845032226500352,285.21667669283033,0.02310393460243878,41.282444913588535,0.028139127715314686,1.3484177095010366,0.028139038441763763,15.606994,1.3100109,,,0,"NOT_AVAILABLE",4839.0,4612.4404,4993.21,0.5015,0.73753434,0.6926819,0.81176805,0.2687087,0.25488374,0.28253368,"Gaia DR2 2103845032226500352",285.21667669283033,41.282444913588535,1.3484,-2.0086,-1.7122,0.0,2015.5,0.0
2076454445237794432,294.66467890841784,0.02155887938552263,39.783846145363334,0.028650282818414693,1.9703387881105137,0.03246695495141298,14.904736,1.2624559,,,0,"NOT_AVAILABLE",4847.6953,4755.31,5061.0,0.252,0.6941569,0.63687706,0.7213908,0.23974594,0.23033684,0.24915504,"Gaia DR2 2076454445237794432",294.66467890841784,39.783846145363334,1.9703,-5.3994,4.7238,0.0,2015.5,7.105427357601002E-15
