KOI,Host KOI,Kepler name,Host Gaia ID,P (VanHo),P pme (VanHo,PSR (VanHo),PSR pme (VanHo),PSR (Fulton),PSR pe (Fulton),PSR me (Fulton),PSR (Van Eylen),PSR pe (Van Eylen),PSR me (Van Eylen)
K00041.01,KOI-41,Kepler-100 c,Gaia DR3 2101733244046205568       ,12.815893,0.000008,0.0137932,0.000168,0.014026,7.90E-05,0.000601,0.013445775,0.000131194,0.00010093
K00041.02,KOI-41,Kepler-100 b,Gaia DR3 2101733244046205568       ,6.887062,0.000007,0.0082278,0.0001469,0.008062,0.001336,0.000227,0.007897869,0.00040951,0.000176509
K00041.03,KOI-41,Kepler-100 d,Gaia DR3 2101733244046205568       ,35.333093,0.000019,0.0103546,0.0002224,0.009209,0.002335,0.000349,0.009168564,0.000384615,0.000197729
K00046.02,KOI-46,Kepler-101 c,Gaia DR3 2131709921047710336       ,6.029792,0.00002,0.0073128,0.0007421,0.006862,0.000255,0.000539,0,0,0
K00049.01,KOI-49,Kepler-461 b,Gaia DR3 2126801563705846528       ,8.313784,0.000015,0.0286729,0.0009586,0.025915,0.000346,0.00029,0,0,0
K00069.01,KOI-69,Kepler-93 b,Gaia DR3 2052747119115620352       ,4.726739,0.000001,0.0151309,0.0001247,0.015858,0.000197,0.000809,0.014863227,9.94E-05,4.42E-05
K00070.01,KOI-70,Kepler-20 A c,Gaia DR3 2102548708017562112       ,10.854089,0.000003,0.0290471,0.0001932,0.029956,0.001821,0.000609,0,0,0
K00070.02,KOI-70,Kepler-20 A b,Gaia DR3 2102548708017562112       ,3.696115,0.000001,0.0182169,0.0002168,0.020874,0.001408,0.002266,0,0,0
K00070.03,KOI-70,Kepler-20 A d,Gaia DR3 2102548708017562112       ,77.611598,0.000019,0.0262888,0.0003397,0.025923,0.000539,0.000257,0,0,0
K00070.05,KOI-70,Kepler-20 A f,Gaia DR3 2102548708017562112       ,19.577627,0.00002,0.0091348,0.000356,0.009811,0.000402,0.000317,0,0,0
K00072.02,KOI-72,Kepler-10 c,Gaia DR3 2132155017099178624       ,45.294321,0.000018,0.0209265,0.000221,0.019777,0.000265,9.20E-05,0.019955325,0.000523458,0.000203783
K00082.01,KOI-82,Kepler-102 e,Gaia DR3 2119583201145735808       ,16.145672,0.000005,0.0281257,0.0004015,0.03053,0.001286,0.001962,0,0,0
K00082.02,KOI-82,Kepler-102 d,Gaia DR3 2119583201145735808       ,10.311741,0.000005,0.0151911,0.0003436,0.016946,0.000248,0.001843,0,0,0
K00085.01,KOI-85,Kepler-65 c,Gaia DR3 2102119176929154304       ,5.859939,0.000001,0.0168953,0.0001023,0.016394,0.000135,6.80E-05,0.016814724,0.000260487,0.000150943
K00085.02,KOI-85,Kepler-65 b,Gaia DR3 2102119176929154304       ,2.154911,0.000001,0.0092337,8.55E-05,0.009656,0.000594,0.000438,0.009216847,9.26E-05,7.59E-05
K00085.03,KOI-85,Kepler-65 d,Gaia DR3 2102119176929154304       ,8.131227,0.000005,0.0101687,0.0001028,0.011306,0,0.001256,0.00985064,0.000363381,0.000243223
K00092.01,KOI-92,KOI-92.01,Gaia DR3 2105135854577044480       ,65.704594,0.000018,0.026343,0.0005619,0.024259,0.001545,0.000809,0.026158138,0.000800353,0.000821784
K00094.02,KOI-94,Kepler-89 A c,Gaia DR3 2076970047474270208       ,10.423684,0.000005,0.0266356,0.0006206,0.025851,0.000369,0.000148,0,0,0
K00094.04,KOI-94,Kepler-89 A b,Gaia DR3 2076970047474270208       ,3.743176,0.000003,0.0105429,0.0001833,0.010942,0.001009,0.000531,0,0,0
K00102.01,KOI-102,KOI-102.01,Gaia DR3 2076121602454770560       ,1.735136,0,0.0337911,0.0002593,0.027951,0.000146,6.10E-05,0,0,0
K00104.01,KOI-104,Kepler-94 b,Gaia DR3 2119602202081351168       ,2.508057,0,0.0389681,0.0001878,0.03744,0.000372,0.001718,0,0,0
K00105.01,KOI-105,Kepler-463 b,Gaia DR3 2079192121810035840       ,8.981015,0.000002,0.0312899,0.0004404,0.031006,2.00E-05,0.001065,0,0,0
K00107.01,KOI-107,Kepler-464 b,Gaia DR3 2134798444914611712       ,7.256964,0.000011,0.019813,0.0004059,0.019494,0.000282,0.000105,0.019689191,0.000418048,0.00030604
K00108.01,KOI-108,Kepler-103 b,Gaia DR3 2101243789577188736       ,15.965333,0.000013,0.0220533,0.0002473,0.020046,0.000211,7.90E-05,0.021956717,0.00034236,0.000208512
K00110.01,KOI-110,Kepler-465 b,Gaia DR3 2107236613280607104       ,9.940663,0.000014,0.021585,0.0006186,0.02114,0.000174,7.50E-05,0,0,0
K00111.01,KOI-111,Kepler-104 A b,Gaia DR3 2102454253097554304       ,11.427551,0.000005,0.0208727,0.0002431,0.020712,0.000176,0.000127,0,0,0
K00111.02,KOI-111,Kepler-104 A c,Gaia DR3 2102454253097554304       ,23.66835,0.000013,0.0199257,0.0002581,0.020567,3.70E-05,0.00088,0,0,0
K00111.03,KOI-111,Kepler-104 A d,Gaia DR3 2102454253097554304       ,51.755294,0.000018,0.0231631,0.000309,0.022948,0.001832,0.00041,0,0,0
K00112.01,KOI-112,Kepler-466 b,Gaia DR3 2134719834131370496       ,51.079265,0.000022,0.0282307,0.0005691,0.02468,0.000418,0.000163,0,0,0
K00112.02,KOI-112,Kepler-466 c,Gaia DR3 2134719834131370496       ,3.709213,0.000012,0.0116375,0.0002963,0.010549,0.00029,0.000189,0,0,0
K00115.01,KOI-115,Kepler-105 b,Gaia DR3 2130368310704421120       ,5.412206,0.000002,0.0234805,0.0002592,0.022571,0.000319,0.000224,0,0,0
K00115.02,KOI-115,Kepler-105 c,Gaia DR3 2130368310704421120       ,7.125936,0.000006,0.0132583,0.0002203,0.012899,0.000299,0.000187,0,0,0
K00116.01,KOI-116,Kepler-106 c,Gaia DR3 2082074942519913344       ,13.570778,0.000009,0.0230094,0.0003672,0.020888,0.000355,0.000261,0,0,0
K00116.02,KOI-116,Kepler-106 e,Gaia DR3 2082074942519913344       ,43.844448,0.000019,0.0233826,0.0003201,0.022959,0.002246,0.000529,0,0,0
K00116.04,KOI-116,Kepler-106 d,Gaia DR3 2082074942519913344       ,23.980232,0.00002,0.0096207,0.0003604,0.008834,0.000363,0.000492,0,0,0
K00117.01,KOI-117,Kepler-107 e,Gaia DR3 2086625752425381632       ,14.749136,0.000011,0.0188432,0.000239,0.019894,0.000415,0.001217,0.018977908,0.000226891,0.000148141
K00117.02,KOI-117,Kepler-107 c,Gaia DR3 2086625752425381632       ,4.901438,0.000006,0.0106106,0.000171,0.011954,0.00044,0.001193,0.010804269,0.000213094,0.000221092
K00117.03,KOI-117,Kepler-107 b,Gaia DR3 2086625752425381632       ,3.18002,0.000002,0.0101072,0.0001669,0.010088,0.000251,0.00021,0.010261309,0.000204442,0.000126842
K00117.04,KOI-117,Kepler-107 d,Gaia DR3 2086625752425381632       ,7.958297,0.000018,0.0061411,0.0002928,0.00694,0.000288,0.000304,0.006908766,0.000345518,0.000326941
