# starid	Teff	eTeffp	FeH	eFeH	Mk_2MASS	Mk-err
2103295173333142784	4618	60	-0.3	0.04	12.057	0.02
2076764576237957504	4653	60	-0.04	0.04	12.357	0.02
2129084935820532608	4665	60	-0.01	0.04	10.55	0.02
2076328963475704576	4665	60	0.06	0.04	12.253	0.02
2106008493152187392	4693	60	-0.56	0.04	12.184	0.02
2119602202081351168	4728	60	0.32	0.04	10.594	0.02
2086629463276947456	4734	60	-0.27	0.04	11.536	0.02
2104376405579347968	4762	60	-0.21	0.04	11.639	0.02
2125790322246812672	4762	60	0.17	0.04	12.814	0.02
2052392835854583936	4772	60	0.11	0.04	12.706	0.02
2133369840008452224	4791	60	0.13	0.04	11.255	0.02
2076565805151925760	4843	60	0.03	0.04	12.626	0.02
2076871091425583232	4852	60	0.23	0.04	10.757	0.02
2107001283431633408	4859	60	-0.34	0.04	11.659	0.02
2087250476887856256	4859	60	0.11	0.04	10.674	0.02
2051933102555095936	4868	60	0.03	0.04	11.832	0.02
2107244481660894592	4883	60	0.2	0.04	13.016	0.02
2102067396802935680	4908	60	-0.13	0.04	13.503	0.02
2119583201145735808	4909	60	0.11	0.04	9.351	0.02
2077961463362645632	4927	60	-0.08	0.04	13.841	0.02
2073277200237694464	4932	60	0.28	0.04	11.461	0.02
2132768956905956352	4961	60	0.21	0.04	10.062	0.02
2135427576021495168	4966	60	-0.24	0.04	12.527	0.02
2126266823097360000	4973	60	0.17	0.04	13.357	0.02
2100597143598879616	4995	60	0.34	0.04	11.241	0.02
2131114947819394816	5002	60	0.06	0.04	13.785	0.02
2131169545443676032	5005	60	0.03	0.04	11.242	0.02
2129161734133025408	5046	60	-0.06	0.04	13.703	0.02
2103788854053938816	5046	60	0.17	0.04	12.186	0.02
2102911581215700096	5060	60	0.3	0.04	13.051	0.02
2105435544515167232	5065	60	-0.12	0.04	12.301	0.02
2076782889978499840	5067	60	0.08	0.04	11.879	0.02
2051105410816218368	5078	60	0.17	0.04	12.155	0.02
2073547954981763328	5080	60	0.09	0.04	13.702	0.02
2126576679217244160	5081	60	0.15	0.04	13.534	0.02
2119814820141727232	5100	60	-0.25	0.04	12.843	0.02
2101768089124657664	5105	60	0.12	0.04	13.639	0.02
2078286197246582016	5106	60	0.13	0.04	12.567	0.02
2080246282881778048	5118	60	0.4	0.04	13.372	0.02
2052528625536778624	5121	60	0.11	0.04	11.585	0.02
2104094071610116608	5146	60	0.03	0.04	12.235	0.02
2102700131386216576	5162	60	0.17	0.04	13.347	0.02
2129025841368107136	5175	60	-0.08	0.04	12.876	0.02
2128098197152438144	5184	60	0.21	0.04	11.673	0.02
2126418658780855296	5203	60	0.08	0.04	12.897	0.02
2075112109039378688	5235	60	0.26	0.04	11.221	0.02
2104847370214740352	5237	60	0.05	0.04	11.165	0.02
2077140987172577408	5248	60	0.04	0.04	13.97	0.02
2080344586094498432	5260	60	0.04	0.04	11.9	0.02
2053586321364864640	5264	60	0.12	0.04	14.118	0.02
2053546910744629504	5274	60	0.07	0.04	12.931	0.02
2130460394803778816	5315	60	0.33	0.04	13.235	0.02
2075161655782111872	5347	60	0.18	0.04	10.761	0.02
2106674071344722688	5348	60	-0.25	0.04	7.942	0.02
2105618029085927680	5350	60	0.06	0.04	12.422	0.02
2128504397979254528	5356	60	0.09	0.04	13.633	0.02
