ID	Teff	Teff-pe	Teff-err-new	FeH	FeH-pe	FeH-err-new	Logg	Logg-pe	Logg-err-new	Parallax	Parallax-e	G-Mag	G-Mag-Err	G-Mag-err-new	RA	DEC
1044013542142711296	3601.738	5.15235	102.130048	-0.1009	0.04035	0.136118	4.6461	0.0059	0.160109	12.588657	0.013927	13.633956	0.002777	0.5	130.900213	63.078074
148080473682357376	3842.436	7.0126	102.240777	-0.3196	0.0291	0.133217	4.7783	0.01535	0.04	13.312371	0.016811	13.308754	0.002773	0.5	70.149406	25.009807
2033123654092592384	8848.703	3.053	102.04568	-1.4907	0.01235	0.130585	4.1247	0.00245	0.04	7.325936	0.023928	7.589816	0.002779	0.5	294.661413	31.219199
2054523105274216704	8742.581	56.9685	116.830689	0.0172	0.03005	0.133428	4.2119	0.0289	0.04	2.068302	0.012824	10.543578	0.002763	0.5	304.800032	32.581045
2126556132093765888	3172.2478	0.5957	102.001739	-0.4905	0.0013	0.130006	5.1109	0.00065	0.04	24.974447	0.020381	14.969373	0.002789	0.5	292.219618	44.617309
2188906825165621120	7426.445	1.38205	102.009363	-0.1975	0.01045	0.130419	4.0429	0.0026	0.04	6.704486	0.018634	7.989994	0.002763	0.5	316.203695	55.588025
2439222638771000448	3325.3345	2.68435	102.035316	-0.0241	0.0073	0.130205	4.8985	0.00325	0.04	8.965101	0.058285	16.114773	0.002878	0.5	353.91695	-7.686727
2966680597368750720	4663.2993	67.05875	122.069144	-1.4787	0.002	0.130015	4.5291	0.01135	0.04	5.932649	0.018948	14.344855	0.002766	0.5	88.146808	-19.031626
3080104185367102592	7675.4897	9.52385	102.443661	-0.2621	0.0082	0.130258	4.0561	0.00625	0.04	3.013199	0.019167	9.777479	0.002763	0.5	130.505638	3.710566
3087206553745290624	4598.748	4.2981	102.090517	0.7954	0.0113	0.13049	4.6155	0.0067	0.04	12.874243	0.02337	11.274117	0.00281	0.5	115.136681	2.098577
3291455819447952768	8811.203	185.967	212.1031	-0.6242	0.1124	0.171854	4.1089	0.02615	0.04	3.172737	0.023876	9.458499	0.002767	0.5	74.552333	9.997979
3595647565382917120	3444.6692	11.03355	102.595025	-0.5079	0.07165	0.148438	4.6796	0.04285	0.04285	9.104586	0.032432	15.355399	0.002793	0.5	179.835841	-6.517855
3675248118423392256	3771.7578	2.07265	102.021056	-0.0251	0.01325	0.130673	4.7024	0.00925	0.04	6.886303	0.027973	14.749148	0.002779	0.5	190.689242	-8.535985
3693923185982895360	5012.6133	5.0232	102.123614	-1.3605	0.02155	0.131774	4.3875	0.0097	0.04	1.576776	0.039004	14.686241	0.002764	0.5	186.227097	-2.066051
3700937760929835648	3900.731	8.58115	102.360325	-0.2322	0.0132	0.130668	4.6507	0.0065	0.04	6.994623	0.025606	14.254617	0.00277	0.5	183.80886	2.020874
3856449627544923392	3671.7307	12.87705	102.809622	-0.5081	0.07685	0.151016	4.4539	0.03475	0.04	13.009434	0.022846	12.808597	0.002782	0.5	156.405506	2.513868
3857872051994269824	3334.978	4.6344	102.105228	-0.4296	0.03455	0.134513	5.0093	0.0173	0.04	32.18037	0.019016	13.413598	0.002799	0.5	160.594121	4.441376
3859431674878660864	3798.5198	3.2103	102.050507	0.0581	0.00595	0.130136	4.672	0.0043	0.04	8.554183	0.019325	14.051001	0.002785	0.5	159.420986	6.285866
3864142669886768896	3325.988	3.46625	102.05888	-0.174	0.0093	0.130332	4.9506	0.00335	0.04	9.291309	0.066254	16.328287	0.002872	0.5	163.251904	5.306473
4056326681029056896	5365.067	53.903	115.366951	-3.7743	0.7214	0.73302	4.2945	0.02625	0.04	0.477193	0.051213	16.082968	0.002797	0.5	269.147926	-29.5393
427224073427887360	3399.8037	1.40285	102.009647	-1.3635	0.0038	0.130056	3.9652	0.007	0.04	19.336224	0.013051	12.542486	0.002767	0.5	10.089157	61.213379
5337273743301313536	6679.9697	24.5945	104.923255	-0.443	0.0146	0.130817	4.1121	0.02965	0.04	0.663195	0.016751	14.551385	0.002765	0.5	166.979878	-61.146249
5357465071731312768	3322.5972	0.66665	102.002178	-0.6889	0.00275	0.130029	4.2712	0.00235	0.04	36.39962	0.016296	11.361207	0.002778	0.5	156.747239	-52.467822
5664814198431308288	3204.3516	41.33135	110.055806	-0.8728	0.17145	0.215163	4.2799	0.1448	0.1448	106.014788	0.022697	9.891662	0.00281	0.5	144.007485	-21.665201
6239410080231903488	3494.6802	2.6189	102.033615	-0.2133	0.0141	0.130762	4.8533	0.0044	0.04	8.926342	0.046476	15.485627	0.002828	0.5	233.624734	-23.259475
6255655673768103168	3479.4956	10.02115	102.49109	-0.4533	0.06945	0.147388	4.7816	0.03315	0.04	5.651273	0.072509	16.616323	0.002899	0.5	228.618857	-21.022726
6257625719430982016	3849.5154	13.23095	102.854548	-0.6803	0.0713	0.148269	4.5505	0.0208	0.04	13.703702	0.023921	12.604316	0.003152	0.5	227.849363	-17.875454
869913435026514688	4649.1714	1.51345	102.011228	0.7984	0.0018	0.130012	4.6213	0.00185	0.04	14.039961	0.01764	10.990832	0.002843	0.5	111.916429	24.336105
