# starid	Teff	Teff_err	FeH	FeH_err
2106674071344722688	5429.68	54.82	-0.29	0.06
2099656472742686848	5622	106	-0.4	0.11
2052747119115620352	5669	75	-0.18	0.1
2132155017099178624	5678.29	52.335	-0.1	0.06
2073731161099713408	5690	77	0.04	0.07
2106705269988803072	5699	74	0.3	0.1
2099541715513813504	5739	75	0.35	0.1
2099605968225288960	5747	85	0.03	0.1
2131494313689868416	5822.05	65.905	0.35	0.08
2135019107451751168	5828	100	-0.05	0.1
2129550445852902656	5834.7	34.45	0.17	0.05
2086625752425381632	5851	75	0.27	0.1
2134798444914611712	5862	97	0.27	0.11
2101305259145506816	5884	75	-0.22	0.1
2101243789577188736	5889.04	73.275	0.1	0.09
2101733244046205568	5902.77	59.82	0.1	0.09
2104344141784539264	5923	77	-0.07	0.1
2102224661326132864	5951.55	72.715	0.3	0.07
2105135854577044480	5952	119	0.02	0.15
2100416823690394624	5968	59	-0.2	0.3
2101175933393051008	5969.16	63.83	-0.06	0.08
2129495057954829952	5982	82	-0.02	0.1
2135179533070399232	6004	102	-0.38	0.1
2073539536845074176	6007	120	0.05	0.15
2126508676995012352	6034	92	-0.14	0.1
2086389357427331712	6056	165	-0.17	0.3
2073804411752924288	6081	75	-0.03	0.1
2107266570672734592	6106	106	0.33	0.1
2107342716152550272	6131	75	0.13	0.1
2100392428275714688	6134	91	-0.24	0.1
2103452266056715392	6184	81	0.12	0.1
2102119176929154304	6193.44	47.39	0.15	0.08
2135590578620605568	6215	89	0.28	0.1
2126237131982289280	6227.7	78.955	0.2	0.07
2080386917291928832	6253	75	-0.13	0.1
2126918008858627712	6286.3	70.285	-0.15	0.08
2132709613336959744	6287	169	-0.27	0.3
2099606483621385216	6305	50	-0.03	0.1
2105620159389754624	6463	110	0.09	0.11
2132178725317511936	6467	173	-0.1	0.3
2107315365800640896	6491	69	-0.2	0.3
