designation,Teff (Gaia),Teff pe (Gaia),Metalicity (Gaia),Metal pe (Gaia)
1044013542142711296,3601.738,4.21,-0.1009,0.0342
1074139748425931008,5364.139,12.0964,0.3159,0.0117
1076970406751899008,6437.147,1.2436,-0.0366,0.0079
1111639314047794944,6056.1055,3.2221,-0.0286,0.0038
111322601672419712,5040.7104,87.9659,-0.2544,0.1065
1117620107545810944,5885.8667,3.397,0.3149,0.0022
1255520718461480960,5694.083,2.4917,-0.0327,0.0052
1316708918505350528,5848.95,8.3225,-0.021,0.009
1331356474971716992,5974.0513,1.8237,0.0281,0.0053
1344163891352965632,5992.018,9.8834,-0.2277,0.0018
1416731285125373184,6151.7153,17.7554,0.0051,0.0138
1424011082893734272,5903.319,3.3807,-0.1756,0.0062
145333927996558976,4181.3286,3.5684,-0.2162,0.0051
1464700950221781504,6204.659,36.499,-0.4268,0.039
1476485996883837184,4591.5635,0.6885,-0.112,0.0082
148080473682357376,3842.436,3.4632,-0.3196,0.0479
1491634483976350720,4891.5254,0.6792,0.0957,0.0034
1499514786891168640,4507.6455,9.7805,-0.1991,0.0124
1587399232335653760,5840.252,14.699,0.1282,0.0132
1675923009431370880,5188.1562,13.8975,0.2027,0.0117
1725490333641502976,5848.7705,4.105,0.1182,0.0055
1737061349198867456,5997.613,14.762,-0.202,0.0122
1750321012752775040,6138.781,3.5696,-0.1752,0.0031
1779546757669063552,5996.3154,1.5446,-0.3061,0.0121
179498266829041664,5372.22,37.2297,-0.0133,0.0435
1808938730710633984,5774.3516,5.5504,-0.1446,0.0075
181908842994567936,6580.7725,30.9035,0.1084,0.0297
1835842749465226368,6739.136,9.452,-0.352,0.0054
1849786481032616960,5286.4,3.786,0.0628,0.0039
1909762228985058944,4690.008,4.7576,0.1049,0.0056
1925321658551399040,6715.8354,12.9571,-0.4524,0.0157
2033123654092592384,8848.703,3.066,-1.4907,0.0176
2048464796210957440,5735.328,54.784,-0.7781,0.0643
2051027792165858304,4576.7456,10.7109,-0.2411,0.0161
2051368434612892800,5545.94,20.4946,-0.1639,0.0202
2051866238502437632,6089.895,3.277,-0.0359,0.0048
2052136821446989568,5795.041,34.5664,-0.2815,0.0352
2052139123549626240,5332.886,33.3386,-0.618,0.0389
2052826318309391104,4780.2383,13.3183,0.6826,0.0177
2052975370856687744,5593.3574,39.8816,-0.033,0.0486
2053562475706063744,4128.3594,20.3178,0.3746,0.0603
2054523105274216704,8742.581,53.582,0.0172,0.0292
2056007995732413312,6031.483,1.54,-0.2181,0.0046
2073153024144692736,6426.5894,12.1831,-0.0719,0.0107
2073274618947678464,5572.3813,24.7881,-0.1961,0.0253
2073652546016392448,4459.129,18.722,0.367,0.1087
2073697660354300544,4885.962,10.703,-0.0889,0.0112
2076121602454770560,5654.674,69.249,0.0103,0.0716
2076185408488670208,5454.9424,18.4576,-0.0029,0.0237
2076454445237794432,4690.752,10.3427,-0.0144,0.0131
2078000289864478976,4561.1143,19.0647,0.0982,0.0424
2078648211455026432,5300.3193,16.959,-0.212,0.0167
2079807646464016256,4769.4673,18.603,-0.5965,0.0332
2079880695265507328,5655.6826,11.2474,-0.1178,0.0092
2080271674728481280,5326.634,7.4324,0.0654,0.0087
2080296757338392576,5802.9204,19.0176,-0.4177,0.0212
2080466185207274880,5508.0186,28.5064,-0.388,0.033
2080605823183999616,5818.928,37.1643,-0.0758,0.0424
2082161219824397568,6766.387,10.8293,-0.4877,0.0083
2085204015173031552,6167.8657,21.209,-0.3159,0.0336
2085527924426959104,5044.935,13.5338,-0.0834,0.014
2099583977992504576,5847.7944,7.5103,-0.3059,0.0089
2099854801450635520,5185.2856,23.8524,0.0139,0.0273
2100524610190045312,6198.1123,13.4927,-0.1496,0.0106
2101035367703145088,6507.081,33.3067,-0.272,0.0176
2102070660978313472,5701.0234,7.5323,-0.4455,0.0074
2102119176929154304,6059.0317,5.7373,-0.09,0.006
2103845032226500352,4773.7817,24.3877,0.2302,0.0405
2105221139747765504,5229.7573,7.9243,-0.0099,0.0004
2105274977158196480,6717.0483,8.7232,-0.1927,0.0078
2105415302330571008,5661.6255,34.5459,-0.053,0.0322
2105538623730974848,4892.5215,13.6605,-0.0933,0.0175
2106371744306291328,5329.74,23.6765,-0.0884,0.0236
2106496607595412480,5622.0244,2.21,-0.6391,0.0091
2106996095111385728,5337.2827,187.3159,-0.2472,0.1621
2107244481660894592,4653.911,18.57,0.1309,0.0226
2107279803471399168,5511.3457,42.5708,-0.048,0.0476
2107311723669410560,4648.7886,5.9399,0.6283,0.0189
2107622335702262400,5314.3926,11.4311,0.0763,0.0154
2107658516506930048,5688.562,36.4795,0.0954,0.0311
2119534646538533888,5942.2583,15.8101,-0.3065,0.013
2119710538336363904,4495.9507,4.9043,0.2711,0.0364
2125751461382627840,5766.714,9.8187,-0.1014,0.0101
2125848733801094912,5067.63,31.131,-0.6725,0.033
2126119862195142272,5587.348,8.7184,-0.4374,0.0131
2126436800722944000,5787.8936,3.2804,-0.2472,0.0043
2126556132093765888,3172.2478,0.8064,-0.4905,0.0011
2126912305142208384,5368.125,30.452,0.1628,0.035
2127956360152391168,5168.095,33.742,-0.0023,0.0367
2127985806448631808,5482.518,66.9424,-0.3118,0.079
2128013019361703936,6107.385,86.5505,-0.2058,0.0677
2128198974266072192,5852.477,24.7945,-0.2441,0.0198
2128273225659492608,5747.7817,32.7037,0.0695,0.0329
2128369501647063808,4895.582,18.8653,0.0035,0.0246
2129503235571760128,5703.2744,114.5166,-0.0842,0.134
2130124219123552256,4777.7144,18.1216,0.11,0.0296
2130368310704421120,5860.2896,3.1792,-0.3105,0.0061
2130825020347168512,5134.2905,15.919,0.3476,0.0155
2130889204338693504,5942.953,13.2643,-0.2768,0.0119
2131059594280288128,5783.063,85.1587,0.283,0.0794
2131748747552136960,5639.607,13.04,-0.2933,0.0119
2132144056342471168,4199.4697,4.5928,0.4792,0.0182
2132152916856093952,5871.573,17.025,-0.1123,0.0123
2132614922197436928,5549.2686,18.7154,-0.4406,0.0292
2133035966431029376,5472.315,19.348,-0.2623,0.0233
2133946843094378752,5454.4395,12.7529,0.0113,0.014
2134850847813263360,5595.028,23.6824,-0.1012,0.0205
2134931077802625792,5226.7725,31.0839,-0.4498,0.0319
2136815881249993600,5827.4766,15.3724,0.0953,0.0143
2139300262131379584,5599.9014,9.1626,-0.1969,0.0116
2141754578242371584,6084.4478,4.3742,-0.0741,0.0062
2188906825165621120,7426.445,1.3206,-0.1975,0.0108
2221164434736927360,5315.492,8.7473,0.1803,0.0096
2254929887069708160,5802.538,1.3155,0.2933,0.0018
2296342614570999552,5768.8984,2.0116,-0.0769,0.0042
2300641567596591488,4998.011,9.4973,-0.2142,0.0266
2303332931542914048,5933.392,8.3053,0.2851,0.0061
2340919358581488768,5749.773,2.368,0.0435,0.0055
2385171398768647552,5390.584,12.636,-0.1372,0.0117
2415410962124813056,5593.2373,3.3452,-0.056,0.0057
2424406513428936832,5368.3022,13.1538,0.0907,0.0144
2424621502311961344,6019.915,15.712,-0.0681,0.0157
2439222638771000448,3325.3345,2.584,-0.0241,0.0074
2441013811932929280,6426.0034,8.4086,-0.3622,0.0056
2498515516990171392,6049.0347,5.7413,-0.2918,0.0098
2507901914613201024,6121.359,4.353,-0.0657,0.0052
2512413932376364288,5716.1416,6.939,-0.0807,0.0089
2538824923230146560,4389.408,12.8557,0.3436,0.0681
2562569564026683520,6289.9805,22.395,-0.0141,0.0202
2641087471777046016,6004.221,33.0695,-0.5208,0.0298
2645727449501559680,4250.179,3.873,0.3232,0.0149
2657135741633337088,5590.1895,135.2415,-0.2545,0.149
2657374606238804992,5033.46,48.942,-0.2061,0.0333
2666015878575546496,5050.713,23.732,0.2772,0.0266
2677447294810845824,5026.5513,10.624,0.4522,0.0106
2790691147020786816,6304.67,6.067,-0.0773,0.0048
2831084391023184128,5635.9517,16.1396,-0.6664,0.0166
2841043011433969152,4475.983,3.4316,0.4982,0.0014
2868528637464028160,6061.677,21.1677,0.1905,0.0378
2878641361300809856,5980.7095,38.2441,-1.2048,0.0305
2881784280929695360,6506.252,14.5,-0.0421,0.0112
2912264564319611136,5085.1646,8.7958,0.1764,0.0096
2924661867160818304,6247.6133,1.5537,0.0814,0.0031
2930141657016297216,6184.962,4.456,-0.1279,0.0029
2959177048983750016,6257.9385,10.0435,-0.2185,0.0077
2966680597368750720,4663.2993,117.8997,-1.4787,0.0029
2980392087185289216,5842.128,9.8027,0.0672,0.01
3022644120017418496,5246.597,12.983,0.3325,0.0136
3046327742219111808,5923.166,19.647,0.0467,0.017
3078836109158636928,5283.737,7.4857,0.1674,0.0076
3080104185367102592,7675.4897,10.2123,-0.2621,0.0083
3087206553745290624,4598.748,1.442,0.7954,0.0037
3105507886130792448,6299.214,10.9095,-0.3325,0.0105
3107255598526406912,5245.569,40.399,-0.4875,0.0434
3107267177757848576,5351.1714,11.6696,0.155,0.0116
3125611120515388800,6189.955,32.2984,-0.3242,0.0123
3126717023056016256,5878.6655,7.1145,-0.0674,0.0095
3211188618762023424,5875.2974,4.8852,-0.3427,0.0062
3222453935725951488,5736.4746,6.1504,-0.1365,0.0061
3231856379348299008,6200.522,16.555,-0.2111,0.0128
3291455819447952768,8811.203,245.541,-0.6242,0.1066
3326541506073371776,5765.2734,43.2276,-0.0108,0.0512
3342228616422593664,6333.0283,14.0407,0.0429,0.0116
338382713564401920,5749.947,4.7747,0.0196,0.0065
3385777286999240576,6480.038,14.463,-0.233,0.0114
3394923127797114496,6580.8594,9.8916,-0.2834,0.0041
3402980516507429888,6188.6704,4.187,-0.2359,0.0042
3445148131761842944,5737.8066,71.8964,0.0165,0.0633
3515865416826633984,5408.758,3.0535,-0.0219,0.0054
3537110837630877568,5719.5156,46.7549,0.0244,0.0494
3545873945303316224,6173.6855,14.6929,-0.3042,0.0123
3558354604869150208,5383.158,27.4294,0.2524,0.028
3578596339057980160,4397.4834,1.7796,0.4877,0.0103
3578783977588991360,5671.689,51.172,-0.2158,0.0574
3579426053724051584,5558.4185,29.479,0.0182,0.0258
3582057258065666816,5475.795,20.2714,-0.1175,0.0203
3582098107498270208,5440.208,54.709,-0.0109,0.0541
3582392123779246336,4922.3745,8.3062,-0.0116,0.0102
3582706794559052160,4862.4893,10.7133,-0.0189,0.0117
3583611726988838144,4573.7617,7.4009,-0.1463,0.0102
3583630934082556416,5263.0347,4.4163,0.089,0.0056
3584368019189709952,5266.393,18.513,0.2803,0.0188
3594882751966012160,5289.797,7.526,-0.2139,0.0058
3595647565382917120,3444.6692,11.4182,-0.5079,0.0825
3596003497911958528,5425.3164,19.5436,0.0264,0.0218
3596508242468505216,4164.708,13.245,0.2762,0.0372
3596876269626641664,4499.499,5.039,0.4594,0.026
3597570989175080576,6075.4224,8.5676,-0.1804,0.0074
3597981377595128704,5720.4043,4.2917,-0.3849,0.0066
3600851450836925312,5383.1523,31.2087,-0.0195,0.0379
3630680754621236096,4546.25,6.644,-0.1021,0.0081
363702817083391232,5661.1562,44.9778,-0.0307,0.0476
3643098875168270592,5329.848,17.679,-0.2191,0.0178
3652176997218325888,5660.4165,6.8345,-0.6271,0.0101
3668036348641580288,4961.818,7.5697,-0.0633,0.0068
3675248118423392256,3771.7578,2.0505,-0.0251,0.0114
3676684252407983488,5909.116,10.2956,-0.2917,0.0197
3682825883842696832,4550.4575,1.7395,0.5579,0.0098
3683121446312149504,4309.083,1.4033,0.7475,0.0025
3693923185982895360,5012.6133,6.2007,-1.3605,0.0202
3694743765254445312,5919.8633,6.9527,-0.633,0.0085
3694878833385971840,4673.158,6.5163,-0.0467,0.0097
3695568295896473856,5711.7876,1.9224,-0.4869,0.0067
3697828548204889344,5438.276,9.3553,-0.4544,0.0172
3700295641843380224,6007.0005,2.1175,-0.1238,0.0045
3700937760929835648,3900.731,14.6662,-0.2322,0.0217
3701015375282968064,6056.3184,18.4236,-0.3191,0.0116
3788394461991295488,6015.5444,1.8531,-0.1712,0.0049
3794479262419500160,5659.7485,43.0965,-0.2424,0.0338
3803004978659671040,5607.3213,15.3262,-0.3624,0.0162
3803494845449564672,5637.564,13.8637,-0.6356,0.0177
3810535361999701376,5322.585,19.4375,0.1556,0.0275
3811032513054107648,5444.014,42.2765,-0.4019,0.043
3811688440459523200,5265.2886,3.0854,-0.0494,0.0058
382111248777193216,5548.5527,7.8218,0.1474,0.0084
3856449627544923392,3671.7307,7.3689,-0.5081,0.0373
385697172809355392,5105.6465,10.2125,-0.0592,0.0096
3857872051994269824,3334.978,4.419,-0.4296,0.029
3859431674878660864,3798.5198,3.3066,0.0581,0.0063
3860369901894562304,4200.6294,2.6323,0.2667,0.0074
3864142669886768896,3325.988,3.279,-0.174,0.0082
3877070590167177344,5625.6333,1.8872,0.2073,0.0047
3882879683758393344,5106.7734,15.4253,-0.0663,0.0168
3892632287473304064,4199.8223,6.5117,0.2678,0.0238
3896271842760486272,4915.8745,4.2065,-0.4,0.0115
3962403923821595264,4757.89,4.581,0.264,0.0055
3997075206232885888,5053.029,5.0677,-0.5258,0.0975
404433018447476096,5310.2046,4.208,0.068,0.0056
4056326681029056896,5365.067,67.259,-3.7743,1.1059
4056443366649948160,5676.5703,18.4502,-0.1735,0.0239
4224062406762625152,5807.3564,12.3799,0.1668,0.0132
4255957040079935488,5279.8193,25.4781,-0.3004,0.0332
4256135160951556480,5019.701,55.7136,-0.696,0.0726
4263752921128319616,4772.0527,36.0337,-0.0432,0.0274
427224073427887360,3399.8037,1.9827,-1.3635,0.0065
4285511294172309504,6248.989,16.9973,-0.2372,0.0134
4287832775526476800,4786.036,24.247,-0.3255,0.0245
4334991786994866304,5377.682,58.6803,-0.7578,0.0566
4439085988769170432,5902.4565,15.9285,-0.1802,0.0153
4453211899986180352,6046.362,7.011,-0.2371,0.0079
4534144923690481408,5525.9883,11.0807,-0.0546,0.0109
4558177980124887936,6560.81,9.9844,-0.2705,0.0046
4583004815239650176,5806.3364,10.4006,-0.2014,0.0091
4596481632339898240,5133.9497,28.9813,0.3885,0.0221
4606030169272920320,5752.1475,1.3579,-0.0345,0.0043
4608935250790855296,6124.7437,10.5503,0.0353,0.0107
4613145315172329984,6230.717,3.548,-0.2916,0.0031
4624979393181971328,5628.948,14.2517,-0.0402,0.0138
4668163021600295552,6141.14,3.2038,-0.167,0.0066
4684513614202233728,5857.7227,13.0156,0.3599,0.0088
4698692748651744128,5216.258,7.6746,-0.0702,0.0075
470650560779277952,6715.0464,30.6929,-0.57,0.0105
4707634458245031552,5650.196,14.6287,0.1848,0.0211
4727755005637190016,6386.467,9.8416,-0.4556,0.0047
4745660479479743488,5937.6963,6.6047,0.0249,0.0071
4746157737910069888,5949.5474,2.1496,-0.3425,0.0053
4747624104168195072,5953.785,1.4547,0.0217,0.0066
4756649415309914240,6147.792,2.836,-0.0258,0.0061
4837286842168217088,6451.811,6.9956,-0.0193,0.0102
4864759888238232320,5987.569,7.43,-0.1352,0.0052
4895489043507741440,5005.3647,3.8179,-0.0854,0.0084
4911563216311083392,5689.305,14.73,0.3336,0.0122
4917441922731087488,5070.293,7.0947,0.1281,0.0102
4968289907406396160,5706.2026,79.48,0.177,0.0785
497750842338402560,6168.0044,5.4102,-0.2678,0.0026
4990044668377961984,5617.147,0.8603,0.0245,0.0029
4994237247949280000,6454.3584,7.917,-0.0729,0.0067
5019835424832215424,5120.498,0.7647,0.2216,0.0042
5057924844082070016,5866.2603,27.2857,-0.3282,0.024
5065640460769428224,6002.626,10.145,-0.2445,0.0076
5086537022856406272,5925.6445,5.3438,0.0745,0.0058
5089851638095503616,6178.663,25.3966,-0.3669,0.0155
5175239363214344960,4756.42,1.658,0.0615,0.0076
5227928170880093568,5441.074,68.989,-0.446,0.0741
5241964708164136192,5418.634,53.9573,-0.6983,0.0723
5242077854771196544,4626.542,15.9883,-0.128,0.0246
5253607539857229568,6027.7427,25.6373,-0.5162,0.0243
5284358990266469760,4526.034,56.1144,0.1973,0.1092
5288681857665822080,6040.2407,9.3086,-0.2456,0.0074
5305241494923209856,6008.917,13.745,-0.7038,0.0231
5337273743301313536,6679.9697,22.2933,-0.443,0.0138
5337294049909975680,4921.7666,71.3134,-0.9781,0.1392
5351820556994135296,6568.681,7.985,-0.1667,0.0067
5357465071731312768,3322.5972,0.7808,-0.6889,0.0028
5376137837173646208,5861.0034,14.6716,-0.1694,0.0128
5385076140853434752,5836.351,4.4874,0.288,0.002
5401743332678544640,6143.1733,6.0737,-0.2249,0.0043
5409268527708808320,5478.038,15.3497,0.2007,0.0159
5411736896952029568,5454.128,11.4467,0.0589,0.0129
5453063823882876032,6191.335,20.662,-0.2808,0.0061
545560867790611072,5905.5615,39.6535,-0.081,0.0775
5509620021956148736,4495.351,2.587,0.4926,0.0075
5545555570947605376,5696.5625,52.8885,-0.045,0.0477
5557345496687437696,5002.1724,8.3222,0.0608,0.01
5560886336446650240,5635.6484,30.044,0.1787,0.0317
5574766468155514752,5513.092,52.2273,0.1461,0.0398
5580554052549277056,6137.0757,8.4219,-0.1254,0.0084
5656184406542140032,5471.7446,9.3589,-0.135,0.0104
5664814198431308288,3204.3516,78.5384,-0.8728,0.326
5664957444179338240,5990.2417,11.5833,-0.0278,0.0127
5674618444832114304,5952.788,7.4327,-0.1971,0.0056
570653411060484480,6022.5796,2.1758,-0.2817,0.0055
5710154317045164416,5571.3105,6.2798,-0.1363,0.0055
5723638723350902400,5557.1006,80.5347,-0.0613,0.0947
5746824674801810816,4462.219,2.826,0.0619,0.0191
5751177095877066496,6307.54,9.065,0.0562,0.007
5795534040654879744,5326.739,31.358,0.2303,0.0375
58200934326315136,5804.169,106.7187,-0.0315,0.0952
5880886001621564928,4506.4727,18.4907,0.2975,0.0545
5902750168276592256,5620.91,1.1266,-0.6025,0.0103
596931979481073152,5640.517,15.2804,0.111,0.0164
602494855483616256,4884.575,11.077,0.5973,0.0158
6032746832450438400,6242.985,4.6146,-0.3091,0.0036
6042793005779654656,6617.9907,12.5643,-0.5265,0.0095
6086712585429729536,6972.9062,12.4444,-0.1819,0.0106
6112606840179716096,5475.071,20.0877,0.1477,0.0231
6125644402384918784,5645.641,32.7213,-0.3973,0.0381
6154982877300947840,6993.378,25.966,-0.1382,0.0123
61607255708760960,5523.48,3.9096,-0.0163,0.0051
6160877943251930368,5425.766,9.552,-0.0458,0.0097
6171009049549197824,6371.4927,13.5088,-0.1427,0.0132
6173435259395017344,5898.265,63.085,-0.3779,0.0757
6173451477191225984,5891.3594,16.0439,-0.4391,0.0152
6186950525042445824,5582.832,62.081,-0.1032,0.0678
6198312362812872320,5668.4985,13.0069,-0.2185,0.0137
6239410080231903488,3494.6802,2.8022,-0.2133,0.0168
6255655673768103168,3479.4956,10.4817,-0.4533,0.0697
6257625719430982016,3849.5154,4.5315,-0.6803,0.033
6258364939144564992,3924.136,14.992,0.0485,0.0274
6258810550587404672,5739.13,51.602,-0.2169,0.0453
6264513270727342080,4204.36,13.1605,0.0137,0.0393
6283723285046532864,5475.332,34.946,-0.3655,0.0284
6284007337003799552,5759.99,23.2253,-0.2862,0.0253
6386751579018596864,5042.8613,8.3203,0.5263,0.0069
6407428994690988928,5747.6714,1.0726,-0.4168,0.0069
646125297938578944,6011.8174,1.7261,-0.0912,0.0032
6482103014085857024,6174.818,13.302,-0.2819,0.0124
6491038642006989056,5542.6895,28.4495,0.0298,0.0308
6492940453524576128,5601.7773,21.2317,0.0888,0.0243
6518399301667782016,5718.492,21.92,0.0998,0.0214
651935220461650560,7346.182,3.1383,-0.1574,0.0103
6533307957785865856,5615.818,10.8685,0.0784,0.0106
6534414719318886144,4701.3296,1.5874,0.2593,0.0039
6541360574788758016,4694.7734,6.0762,0.0218,0.024
6552346035980010624,4818.802,5.9924,0.4667,0.0076
6675883485986480256,5948.107,3.4687,-0.0768,0.0057
6677909439240233472,5545.8823,75.5957,0.1465,0.087
6683371847364921088,4608.6196,1.3264,0.1953,0.0072
6710517793025165696,5711.9224,6.2776,-0.0709,0.0065
6801474136516893184,5680.8784,18.9903,-0.277,0.0102
6857756246957592320,4982.377,6.7524,-0.0764,0.0069
6868476691490044672,5212.6826,10.1574,0.1039,0.0124
6910753016653587840,4729.3774,2.3789,0.3494,0.0227
702295464353437952,6052.2764,33.3271,0.0227,0.0309
770622651659107712,5572.2466,7.3589,-0.1072,0.0116
869913435026514688,4649.1714,1.1411,0.7984,0.0012
876608292608416512,5753.6,16.2267,0.1108,0.0168
898130030131443584,6146.142,12.463,-0.1311,0.0112
920308932010648448,5378.101,9.551,0.1525,0.0115
990291507088739072,6220.6177,16.5058,-0.2803,0.0158
