KOI,Kepler name,P,P_err,k,k_err,Rp,e_Rp,E_Rp,Source,ntr,Flag 
K00041.01,Kepler-100 c,12.8158935,7.7e-06,0.0137932,0.000168,2.276507494650256,0.032501145522814384,0.031057987,-2,93,1
K00041.02,Kepler-100 b,6.8870616,7.3e-06,0.0082278,0.0001469,1.3579625006875404,0.026270328622035512,0.025641602,-2,173,1
K00041.03,Kepler-100 d,35.3330929,1.92e-05,0.0103546,0.0002224,1.7089815636767063,0.038850536,0.038179464564139724,-2,35,1
K00046.02,Kepler-101 c,6.0297921,2e-05,0.0073128,0.0007421,1.3201168465216915,0.13869034038548456,0.13911175641792234,-1,50,0
K00049.01,Kepler-461 b,8.3137843,1.5e-05,0.0286729,0.0009586,4.031393735935467,0.16602795130507791,0.16787350563252304,-1,34,1
K00069.01,Kepler-93 b,4.7267389,6e-07,0.0151309,0.0001247,1.5018855283391603,0.035252882859736295,0.035252882859736295,-2,275,1
K00070.01,Kepler-20 A c,10.854089,2.9e-06,0.0290471,0.0001932,2.788149977830388,0.066024914,0.069071456,-1,116,1
K00070.02,Kepler-20 A b,3.6961151,1.1e-06,0.0182169,0.0002168,1.7485893370125902,0.044859534,0.046628941,-1,336,1
K00070.03,Kepler-20 A d,77.6115982,1.92e-05,0.0262888,0.0003397,2.5233884669102085,0.065971201,0.068478618,-1,15,1
K00070.05,Kepler-20 A f,19.5776274,2e-05,0.0091348,0.000356,0.8768239313902259,0.039557623,0.040068818,-1,62,1
K00072.02,Kepler-10 c,45.2943213,1.84e-05,0.0209265,0.000221,2.433671083371145,0.030919046936039675,0.030179194018950955,-2,24,1
K00082.01,Kepler-102 e,16.1456718,4.5e-06,0.0281257,0.0004015,2.221122878405795,0.063676705,0.063676705,-1,82,1
K00082.02,Kepler-102 d,10.3117412,4.6e-06,0.0151911,0.0003436,1.1996607998432136,0.040321987,0.040321987,-1,126,1
K00085.01,Kepler-65 c,5.8599391,1.2e-06,0.0168953,0.0001023,2.5812086503087754,0.029396294620835973,0.028250585295418018,-2,214,1
K00085.02,Kepler-65 b,2.1549107,6e-07,0.0092337,8.55e-05,1.410694472093194,0.018862038642811413,0.018331642,-2,576,1
K00085.03,Kepler-65 d,8.1312267,4.6e-06,0.0101687,0.0001028,1.553540712647591,0.021707276333807268,0.021149018680279897,-2,150,1
K00092.01,KOI-92.01,65.7045945,1.78e-05,0.026343,0.0005619,3.017068775183832,0.10757454232908376,0.10757454232908376,-2,15,1
K00094.02,Kepler-89 A c,10.4236838,5.5e-06,0.0266356,0.0006206,3.974470344861323,0.13122075583625545,0.1332949443701742,-1,58,1
K00094.04,Kepler-89 A b,3.7431763,3.3e-06,0.0105429,0.0001833,1.573174376,0.045850778,0.046778773,-1,166,1
K00102.01,KOI-102.01,1.7351362,2e-07,0.0337911,0.0002593,4.072820657931045,0.12201643794575798,0.1255828375644198,-1,613,0
K00104.01,Kepler-94 b,2.5080573,3e-07,0.0389681,0.0001878,3.1666216963750955,0.082188753,0.086368942,-1,352,1
K00105.01,Kepler-463 b,8.9810151,2.3e-06,0.0312899,0.0004404,3.648484954244995,0.10252506179983914,0.10549293046201745,-1,120,1
K00107.01,Kepler-464 b,7.256964,1.1e-05,0.019813,0.0004059,3.457808212,0.11176258250436467,0.11176258250436431,-2,71,1
K00108.01,Kepler-103 b,15.9653333,1.29e-05,0.0220533,0.0002473,3.487966192831721,0.044704999907234554,0.044705,-2,61,1
K00110.01,Kepler-465 b,9.9406632,1.39e-05,0.021585,0.0006186,2.895928557877738,0.10747025914648572,0.10898123280262165,-1,40,1
K00111.01,Kepler-104 A b,11.4275512,5.5e-06,0.0208727,0.0002431,2.3928309993399286,0.063374477,0.065426907,-1,101,1
K00111.02,Kepler-104 A c,23.6683503,1.35e-05,0.0199257,0.0002581,2.2842676148053496,0.061869442,0.063786676,-1,45,1
K00111.03,Kepler-104 A d,51.7552935,1.85e-05,0.0231631,0.000309,2.655400773,0.072418756,0.074632644,-1,23,1
K00112.01,Kepler-466 b,51.0792655,2.15e-05,0.0282307,0.0005691,2.8822269513867766,0.22621932834417274,0.25910145362163206,-1,8,0
K00112.02,Kepler-466 c,3.7092132,1.21e-05,0.0116375,0.0002963,1.1881361831893513,0.095067139,0.10839559907276244,-1,104,0
K00115.01,Kepler-105 b,5.4122064,1.6e-06,0.0234805,0.0002592,2.6277580831438834,0.067968844,0.07029355,-1,176,1
K00115.02,Kepler-105 c,7.1259356,6e-06,0.0132583,0.0002203,1.4837675941205064,0.042573235110764024,0.043760243751893045,-1,136,1
K00116.01,Kepler-106 c,13.5707783,8.7e-06,0.0230094,0.0003672,2.6252318089525093,0.079669245,0.079669245,-1,94,1
K00116.02,Kepler-106 e,43.8444479,1.88e-05,0.0233826,0.0003201,2.6678116463711765,0.07794843,0.07794843,-1,28,1
K00116.04,Kepler-106 d,23.9802322,1.98e-05,0.0096207,0.0003604,1.0976630274752668,0.049935944,0.049935944,-1,54,1
K00117.01,Kepler-107 e,14.7491361,1.1e-05,0.0188432,0.000239,2.900095842435835,0.10336760859525132,0.10336760859525132,-2,61,1
K00117.02,Kepler-107 c,4.9014377,6.1e-06,0.0106106,0.000171,1.633043057747605,0.060428350288954026,0.060428350288954026,-2,183,1
K00117.03,Kepler-107 b,3.1800204,2.3e-06,0.0101072,0.0001669,1.5555663952336902,0.057833090003214974,0.057833090003214974,-2,282,1
K00117.04,Kepler-107 d,7.9582973,1.77e-05,0.0061411,0.0002928,0.9451567981013155,0.054972065,0.054972065,-2,112,1
K00118.01,Kepler-467 b,24.9932394,2.11e-05,0.0158167,0.0006156,2.346310396,0.11446261617498302,0.11446261617498278,-2,21,1
K00122.01,Kepler-95 b,11.5230726,4.5e-06,0.0204782,0.0002128,3.2388472151581187,0.095476408,0.095476408,-2,109,1
K00123.01,Kepler-109 b,6.4816389,3.4e-06,0.0164629,0.0002406,2.404442263099465,0.044850169860433574,0.046998543,-2,182,1
K00123.02,Kepler-109 c,21.2226017,1.3e-05,0.0179728,0.0001798,2.6249664339960805,0.040190917788727264,0.043017329,-2,55,1
K00124.01,Kepler-110 b,12.6910488,1.49e-05,0.015836,0.0002493,2.131529423621455,0.063192654,0.064662844,-1,57,1
K00124.02,Kepler-110 c,31.7198246,1.85e-05,0.0190588,0.0003164,2.565319081770433,0.077245257,0.078987945,-1,24,1
K00137.03,Kepler-18 b,3.5047133,2.7e-06,0.0163997,0.00028,1.617093060027281,0.048073065,0.049548098264541034,-1,359,1
K00139.02,Kepler-111 b,3.3418024,5.5e-06,0.0112406,0.0002833,1.3548226570765587,0.047558805,0.048420249,-1,261,1
K00144.01,Kepler-472 b,4.1762546,1.9e-06,0.0327019,0.0002627,2.764428539572913,0.074716566,0.074716566,-1,190,1
K00148.01,Kepler-48 b,4.778006,2.9e-06,0.0194458,0.000325,1.7732206140010347,0.053500848,0.055279258,-1,245,1
K00148.02,Kepler-48 c,9.673944,4.2e-06,0.0279517,0.0004586,2.548855312528809,0.076473334,0.079043544,-1,121,1
