KOI,rs_f18,e_rs_f18,E_rs_f18,ms_f18,e_ms_f18,E_ms_f18,teff_f18,e_teff_f18,E_teff_f18,FeH_f18,FeH_err_f18,Ksmag_f18,rs_v18,e_rs_v18,E_rs_v18,ms_v18,e_ms_v18,E_ms_v18,teff_v18,e_teff_v18,E_teff_v18,FeH_v18,FeH_err_v18,Ksmag_v18,age,e_age,E_age,RCF,rhos,rhos_err,u0,u0_err,u1,u1_err 
K00041.01,1.526,0.033,0.034,1.097,0.03,0.072,5854,60,60,0.1,0.04,9.768,1.51,0.01,0.01,1.11,0.02,0.02,5902.77,66.37,53.27,0.1,0.09,11.197,6.918,0.796,1.912,1.0083,0.312793,0.0149111,0.4638083,0.0837977,0.1709975,0.1063173
K00046.02,1.655,0.045,0.047,1.244,0.094,0.033,5661,60,60,0.39,0.04,12.011,0,0,0,0,0,0,0,0,0,0,0,0,5.248,1.692,0.725,1,0.2789766,0.0254194,0.5176641,0.1788152,0.2699539,0.1579211
K00049.01,1.289,0.031,0.032,0.948,0.025,0.027,5779,60,60,-0.06,0.04,11.917,0,0,0,0,0,0,0,0,0,0,0,0,10.471,1.206,1.206,1,0.4411151,0.0205916,0.3437061,0.1193838,0.2490598,0.1328949
K00069.01,0.941,0.022,0.022,0.874,0.026,0.034,5594,60,60,-0.09,0.04,8.37,0.91,0.02,0.02,0.89,0.07,0.07,5669,75,75,-0.18,0.1,9.931,9.12,2.1,2.94,1,1.0444974,0.0550651,0.444918,0.0439955,0.159423,0.0633724
K00070.01,0.88,0.02,0.021,0.942,0.026,0.02,5508,60,60,0.11,0.04,10.871,0,0,0,0,0,0,0,0,0,0,0,0,3.09,1.565,1.992,1.0054,1.3905407,0.0522615,0.4510074,0.0449635,0.2446901,0.0665025
K00072.02,1.083,0.025,0.026,0.871,0.011,0.018,5599,60,60,-0.11,0.04,9.496,1.07,0.01,0.01,0.92,0.02,0.01,5678.29,49.46,55.21,-0.1,0.06,10.961,12.882,0.89,1.483,1.0005,0.6899136,0.0192652,0.3791984,0.1013401,0.2436402,0.1290627
K00082.01,0.724,0.018,0.018,0.803,0.021,0.009,4909,60,60,0.11,0.04,9.351,0,0,0,0,0,0,0,0,0,0,0,0,1.072,1.579,0.888,1,2.0394188,0.054638,0.619607,0.0564855,0.0920255,0.0668249
K00085.01,1.443,0.032,0.033,1.249,0.03,0.01,6220,60,60,0.13,0.04,9.806,1.4,0.01,0.01,1.2,0.03,0.03,6193.44,52.09,42.69,0.15,0.08,11.018,2.951,0.408,0.34,1.0001,0.4282639,0.0190558,0.3302998,0.0569683,0.2536132,0.0726667
K00092.01,1.064,0.024,0.024,1.08,0.046,0.029,5923,60,60,0.09,0.04,10.3,1.05,0.03,0.03,1.08,0.11,0.11,5952,119,119,0.02,0.15,11.667,2.344,1.403,1.349,1,0.8937905,0.0487675,0.4128326,0.1245204,0.2565623,0.1317457
K00094.02,1.368,0.032,0.033,1.177,0.024,0.032,6181,60,60,0.07,0.04,10.926,0,0,0,0,0,0,0,0,0,0,0,0,3.467,0.559,0.639,1,0.4622847,0.0209949,0.3260709,0.1093416,0.3740115,0.1559331
K00102.01,1.105,0.032,0.033,1.084,0.037,0.033,5759,60,60,0.24,0.04,11.055,0,0,0,0,0,0,0,0,0,0,0,0,3.467,1.437,2.235,1.1844,0.8861754,0.0480469,0.467054,0.0392265,0.1484551,0.0592468
K00104.01,0.745,0.019,0.02,0.815,0.022,0.012,4728,60,60,0.32,0.04,10.594,0,0,0,0,0,0,0,0,0,0,0,0,3.02,2.434,4.311,1,2.083552,0.0551754,0.6216751,0.0509999,0.0747586,0.0581352
K00105.01,1.069,0.026,0.027,0.822,0.006,0.008,5567,60,60,-0.35,0.04,11.209,0,0,0,0,0,0,0,0,0,0,0,0,13.49,0.311,0.621,1.0004,0.7522829,0.0199231,0.3523625,0.0954135,0.2585351,0.1242763
K00107.01,1.598,0.04,0.042,1.262,0.047,0.021,5920,60,60,0.26,0.04,11.338,1.6,0.04,0.04,1.2,0.08,0.08,5862,97,97,0.27,0.11,12.702,4.074,0.938,0.469,1.0073,0.3118884,0.0206729,0.41489,0.0919395,0.2211489,0.1312823
K00108.01,1.487,0.036,0.037,1.134,0.047,0.043,5886,60,60,0.13,0.04,10.873,1.45,0.01,0.01,1.1,0.03,0.02,5889.04,70.97,75.58,0.1,0.09,12.287,5.888,1.085,1.085,1.001,0.3529637,0.0195066,0.3557835,0.1198369,0.2519405,0.1276019
K00110.01,1.23,0.029,0.03,1.048,0.028,0.03,6207,60,60,-0.16,0.04,11.456,0,0,0,0,0,0,0,0,0,0,0,0,4.898,0.789,1.015,1,0.5631649,0.0309569,0.3302787,0.1084317,0.3712929,0.1429725
K00111.01,1.051,0.025,0.026,0.818,0.008,0.013,5760,60,60,-0.42,0.04,11.209,0,0,0,0,0,0,0,0,0,0,0,0,13.183,0.607,0.911,1.0013,0.7315785,0.0247189,0.4360363,0.070724,0.2025551,0.0973849
K00112.01,0.936,0.071,0.082,0.979,0.033,0.027,5805,60,60,-0.03,0.04,11.367,0,0,0,0,0,0,0,0,0,0,0,0,3.162,2.112,3.495,1.0971,1.092702,0.1877359,0.2895835,0.1081645,0.2891621,0.1483732
K00115.01,1.026,0.024,0.025,0.991,0.033,0.032,5933,60,60,-0.09,0.04,11.503,0,0,0,0,0,0,0,0,0,0,0,0,4.266,1.375,1.964,1.0002,0.9253074,0.061108,0.2809889,0.1211615,0.3479065,0.1461083
K00116.01,1.046,0.027,0.027,0.959,0.033,0.034,5860,60,60,-0.09,0.04,11.431,0,0,0,0,0,0,0,0,0,0,0,0,6.026,1.665,2.081,1.0001,0.8991473,0.0579004,0.4537572,0.1226016,0.254561,0.1453848
K00117.01,1.439,0.034,0.035,1.215,0.025,0.024,5866,60,60,0.32,0.04,11.06,1.41,0.05,0.05,1.14,0.07,0.07,5851,75,75,0.27,0.1,12.487,4.266,0.688,0.589,1,0.4042188,0.0151193,0.4030889,0.0908995,0.3093613,0.1245977
