KOI,Kepler name,P,P_err,t0,t0_err,k,k_err,k_f18,k_f18_upp,k_f18_low,k_v18,k_v18_upp,k_v18_low,b,b_err,ecc,ecc_err,omega,omega_err,a/rs,a/rs_err,S,S_err 
K00041.01,Kepler-100 c,12.815893,0.000008,122.9475572,0.0004709,0.0137932,0.000168,0.014026,7.9e-05,0.000601,0.013445775,0.000131194,0.00010093,0.3937083,0.1316544,0.0555897,0.0402868,29.543101933965367,96.01639908831623,14.356707408946699,1.1960798238804011,245.36592038991083,20.59250220077016 
K00041.02,Kepler-100 b,6.887062,0.000007,133.1781443,0.0007587,0.0082278,0.0001469,0.008062,0.001336,0.000227,0.007897869,0.00040951,0.000176509,0.6264621,0.0538579,0.0504409,0.0399107,2.6333885109346302,106.50532544939203,9.255236503006113,0.8780154938593161,590.4034671875959,56.32841781969044 
K00041.03,Kepler-100 d,35.333093,0.000019,153.9834812,0.0008502,0.0103546,0.0002224,0.009209,0.002335,0.000349,0.009168564,0.000384615,0.000197729,0.8058125,0.0229292,0.0494931,0.0384382,1.472948440566418,103.99713394627143,27.50081352924167,2.506244332515737,66.87023639488805,6.131679930292594 
K00046.02,Kepler-101 c,6.029792,0.00002,132.4816254,0.0009774,0.0073128,0.0007421,0.006862,0.000255,0.000539,0,0,0,0.4106981,0.2128836,0.0500497,0.0385333,-0.190611599,103.26792483083047,8.132994721421722,0.7743791822216225,646.803162,61.96543064096294 
K00049.01,Kepler-461 b,8.313784,0.000015,175.991539,0.0007632,0.0286729,0.0009586,0.025915,0.000346,0.00029,0,0,0,0.7514653,0.110957,0.2296649,0.1339069,77.23505455831206,77.35924316040665,14.745109503643967,2.223638137399047,213.70528827355574,32.30414087248956 
K00069.01,Kepler-93 b,4.726739,0.000001,134.926549,0.0001455,0.0151309,0.0001247,0.015858,0.000197,0.000809,0.014863227,9.943588019999984e-05,4.421744089999971e-05,0.2264581,0.1312093,0.200242,0.0934042,105.10703340953116,58.32916046280233,13.062954446428316,1.3902024460900742,252.14101622796613,27.040220417626802 
K00070.01,Kepler-20 A c,10.854089,0.000003,138.6081803,0.0002376,0.0290471,0.0001932,0.029956,0.001821,0.000609,0,0,0,0.1836164,0.11256,0.0907946,0.0326354,86.18228327298365,38.995582021117194,22.489049916280113,0.7951164394310991,75.8113107,2.8047002705356054 
K00070.02,Kepler-20 A b,3.696115,0.000001,134.5020815,0.0002445,0.0182169,0.0002168,0.020874,0.001408,0.002266,0,0,0,0.4853318,0.0822009,0.0498225,0.0367874,25.642032842147884,101.20551741063346,10.242737829762438,0.8252897952497976,365.4635835922158,29.714453906600852 
K00070.03,Kepler-20 A d,77.611598,0.000019,164.7274314,0.000481,0.0262888,0.0003397,0.025923,0.000539,0.000257,0,0,0,0.3564365,0.1337698,0.0562486,0.039832,32.79373787759443,96.32855222468146,78.66612937523773,6.413064409360699,6.195846617354846,0.5095906223281099 
K00070.05,Kepler-20 A f,19.577627,0.00002,135.2063225,0.0009102,0.0091348,0.000356,0.009811,0.000402,0.000317,0,0,0,0.6542541,0.0554687,0.0510506,0.0395924,7.109334806496622,104.26435573234251,30.66130353382216,2.8427963520771224,40.78448596805645,3.807387889912062 
