designation,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 1053809778428567680,,,,,,,Gaia DR3 1053809778428567680,157.14401106412535,65.85418726790246,13.6226,-177.3399,-81.6926,-16.6983,2016,0
Gaia DR3 1126422935076082176,,,,,,,Gaia DR3 1126422935076082176,151.61868523097365,74.82720028881778,20.6355,-25.8265,-75.1043,11.4142,2016,0
Gaia DR3 1716345832872291968,,,,,,,Gaia DR3 1716345832872291968,194.7395907678979,77.66172008723437,17.2826,-36.0353,31.4076,-18.6194,2016,0
Gaia DR3 1744911763437512064,,,,,,,Gaia DR3 1744911763437512064,317.5515255375414,10.738897370652337,5.4889,-5.6908,5.0663,9.2092,2016,1.7763568394002505E-15
Gaia DR3 1962153854973972096,,,,,,,Gaia DR3 1962153854973972096,335.51292167392506,45.45734141046544,2.0534,8.966,-5.5617,-25.7784,2016,7.105427357601002E-15
Gaia DR3 2009481748875806976,,,,,,,Gaia DR3 2009481748875806976,348.33773395483047,57.16966644274312,152.864,2074.4135,294.452,-18.675,2016,3.081783844965638E-14
Gaia DR3 2051104586182508928,5661.4326,34.6933,82.7437,-0.1026,0.0377,0.0976,Gaia DR3 2051104586182508928,290.3286448558638,37.723118923669155,1.5887,-3.4334,0.6714,-35.8751,2016,0
Gaia DR3 2051105410816218368,4972.9956,8.2106,8.394,0.1581,0.0113,0.0105,Gaia DR3 2051105410816218368,290.29641883337683,37.749424906111955,2.2599,-14.7967,-15.652,-26.0823,2016,7.105427357601002E-15
Gaia DR3 2051738798233021824,,,,,,,Gaia DR3 2051738798233021824,292.04462853128604,37.37618483079783,1.0268,2.8546,-9.0387,-18.1222,2016,0
Gaia DR3 2051933102555095936,4777.2373,10.8453,12.6841,0.1311,0.0149,0.015,Gaia DR3 2051933102555095936,292.6585280083309,38.34556080186814,2.9157,15.0967,36.3525,-26.7894,2016,7.105427357601002E-15
Gaia DR3 2051950454223150720,6121.6646,58.9463,51.35,-0.1039,0.048,0.0468,Gaia DR3 2051950454223150720,292.4797002723272,38.51490162207004,0.5035,-0.5815,-1.5586,0,2016,7.105427357601002E-15
Gaia DR3 2052168466766597120,6133.7817,6.6167,6.2323,-7.00E-04,0.0059,0.0059,Gaia DR3 2052168466766597120,294.14965216606987,38.45820522181965,0.9193,-3.9313,-12.901,-17.8943,2016,7.105427357601002E-15
Gaia DR3 2052185062520374272,5707.1704,21.1344,26.0361,-0.2861,0.0215,0.0288,Gaia DR3 2052185062520374272,294.11076292893904,38.71022197782799,1.3801,-0.701,-1.3543,13.5641,2016,0
Gaia DR3 2052304325169514880,5646.075,29.739,49.9494,-0.4288,0.0346,0.0631,Gaia DR3 2052304325169514880,293.5681984074227,39.036312444161155,0.8981,7.9459,1.0747,0,2016,0
Gaia DR3 2052392835854583936,4660.2617,11.1743,11.8447,0.224,0.0212,0.0193,Gaia DR3 2052392835854583936,293.7439215036292,38.93922024895193,2.0102,-4.6961,-10.6591,-36.3349,2016,4.4213556486761307E-14
Gaia DR3 2052528625536778624,4968.373,7.25,8.181,-0.021,0.009,0.0104,Gaia DR3 2052528625536778624,291.3647326109745,37.609241060544655,3.1464,-4.1757,14.7646,-24.4007,2016,7.105427357601002E-15
Gaia DR3 2052688467040906624,5875.504,42.6026,58.797,0.1233,0.0425,0.0706,Gaia DR3 2052688467040906624,291.6535383542165,38.49466000176565,0.5474,2.7187,2.2543,0,2016,4.4489421052311296E-14
Gaia DR3 2052747119115620352,5657.4126,4.5361,20.4199,-0.2088,0.0039,0.0147,Gaia DR3 2052747119115620352,291.41812236713093,38.672311565036644,10.4148,-28.6715,-5.722,27.2379,2016,0
Gaia DR3 2052823535171095296,6017.2056,21.2126,22.6308,-0.0485,0.0226,0.0233,Gaia DR3 2052823535171095296,290.4132616970433,38.34372806856851,0.8312,-2.1531,-1.8216,0,2016,4.458247118621589E-14
Gaia DR3 2053070616052194304,5787.1567,7.2077,7.1463,-0.2818,0.0077,0.0078,Gaia DR3 2053070616052194304,291.11186422759204,39.94902379795604,0.9446,-2.8094,-7.0857,19.5487,2016,0
