KOI,Host Gaia DR3 ID,P,P pe,P me,PSR,PSR pme
BD+20 594 b,58200934326315136,41.6855,0.003,0.003,0.022135944,0.000564692
CoRoT-1 b,3105507886130792448,1.5089557,0.0000064,0.0000064,0.138799856,0.002115888
CoRoT-10 b,4263752921128319616,13.2406,0.0002,0.0002,0.126899961,0.003856896
CoRoT-11 b,4285511294172309504,2.99433,0.000011,0.000011,0.107,0.000501168
CoRoT-12 b,3107255598526406912,2.828042,0.000013,0.000013,0.132060592,0.001514456
CoRoT-16 b,4256135160951556480,5.35227,0.0002,0.0002,0.100995049,0.004703201
CoRoT-17 b,4255957040079935488,3.7681,0.0003,0.0003,0.066332496,
CoRoT-36 b,4477340334766250496,5.616531,0.000023,0.000023,0.100498756,0.00054727
CoRoT-5 b,3125611120515388800,4.0378962,0.0000019,0.0000019,0.120871833,0.001323716
CoRoT-7 b,3107267177757848576,0.85359163,0.00000001,0.00000001,0.018708287,0.000293987
CoRoT-8 b,4287832775526476800,6.21229,0.00003,0.00003,0.080684571,0.000433788
CoRoTID 223977153 b,3326541506073371776,6.71837,0.00001,0.00001,0.053851648,0.001856953
EPIC 212737443 b,3630680754621236096,13.603,0.0013,0.0013,0.033166248,
EPIC 212737443 c,3630680754621236096,65.55,0.0089,0.0089,0.033166248,
EPIC 248847494 b,3882879683758393344,3650,1280,1130,0.042426407,
G 9-40 b,684992690384102528,5.746007,0.000006,0.000006,0.06041523,0.002731099
GJ 357 b,5664814198431308288,3.9306,0.000002,0.000002,0.030903074,0.001003136
GPX-1 b,457317534880081152,1.744579,0.000008,0.000008,0.09486833,0.001581139
HAT-P-12 b,1499514786891168640,3.2130598,0.0000021,0.0000021,0.140605832,0.001315735
HAT-P-15 b,179498266829041664,10.8635,0.000027,0.000027,0.1,0.0009
HAT-P-17 b,1849786481031300608,10.33852,0.000009,0.000009,0.122474487,0.000898146
HAT-P-20 b,869913435026514688,2.875317,0.000004,0.000004,0.099488693,
HAT-P-21 b,770622651659107712,4.12448,0.000007,0.000007,0.09486833,0.002213594
HAT-P-23 b,1808938730710633984,1.212884,0.000002,0.000002,0.102645019,
HAT-P-25 b,111322601672419712,3.65281514,0.00000076,0.00000075,0.012688578,0.000106395
HAT-P-26 b,3668036348641580288,4.23452,0.000015,0.000015,0.073484692,8.84538E-05
HAT-P-28 b,363702817083391232,3.257215,0.000007,0.000007,0.121321886,
HAT-P-31 b,4583004815239650176,5.00542,0.000091,0.000091,0.080622577,0.009302605
HAT-P-37 b,2133946843094378752,2.797436,0.000007,0.000007,0.137804209,0.003047802
HAT-P-40 b,1962153854973972096,4.45724,0.00001,0.00001,0.080622577,0.001426399
HAT-P-49 b,1835842749465226368,2.69155,0.000006,0.000006,0.079372539,0.001889822
HAT-P-5 b,4606030169272920320,2.78849,0.000025,0.000025,0.109544512,0.000593366
HAT-P-56 b,3385777286999240576,2.79083,0.000005,0.000005,0.104880885,4.76731E-06
HAT-P-6 b,1925321658546436352,3.85298,0.000005,0.000005,0.093273791,0.000530696
HAT-P-69 b,3080104185367102592,4.7869491,0.0000018,0.0000021,0.087332697,
HAT-P-70 b,3291455819447952768,2.74432452,0.00000079,0.00000068,0.091885799,
HAT-P-9 b,898130030131443584,3.92281072,0.00000102,0.00000102,0.106957936,0.0008882
HATS-6 b,2966680597368750720,3.3252725,0.0000021,0.0000021,0.179722008,0.000834622
HD 108236 b,6125644402384918784,3.795963,0.000025,0.000034,0.016881943,0.000503497
HD 108236 c,6125644402384918784,6.203449,0.000049,0.000046,0.021656408,0.000507933
HD 108236 d,6125644402384918784,14.175685,0.000083,0.0001,0.026551836,0.000640257
HD 108236 e,6125644402384918784,19.590025,0.000083,0.000089,0.032218007,0.000465578
HD 108236 f,6125644402384918784,29.54115,0.00033,0.00042,0.021095023,0.000568855
HD 136352 b,5902750168276592256,11.57797,0.00008,0.00013,0.014422205,0.00027735
HD 136352 c,5902750168276592256,27.59221,0.00011,0.00011,0.025258662,0.000475085
HD 136352 d,5902750168276592256,107.245,0.05,0.05,0.022181073,0.000676252
HD 137496 b,6258810550587404672,1.62116,0.0000791,0.0000806,0.007582875,0.000303974
HD 1397 b,4707634458245031552,11.53533,0.00079,0.0008,0.045133136,0.000299115
HD 149026 b,1331356474971716992,2.87589,0.000002,0.000002,0.053851648,0.000807775
HD 15906 b,5175239363214344960,10.924709,0.000032,0.000032,0.027,0.001
HD 15906 c,5175239363214344960,21.583298,0.000052,0.000055,0.035256205,0.000765823
HD 17156 b,545560867790611072,21.21663,0.00045,0.00045,0.072801099,0.000597518
HD 207897 b,2300641567596591488,16.202159,0.000085,0.000083,0.029427878,0.00049273
HD 209458 b,1779546757669063552,3.52474859,0.00000038,0.00000038,0.122474487,9.79796E-05
HD 213885 b,6407428994690988928,1.008035,0.000021,0.00002,0.014142136,
HD 219134 b,2009481748875806976,3.092926,0.00001,0.00001,0.018920888,0.00063422
HD 219134 c,2009481748875806976,6.76458,0.00033,0.00033,0.017832555,0.000532734
HD 219666 b,6492940453524576128,6.04345,0.00001,0.00001,0.037603191,0.000904179
HD 28109 b,4668163021600295552,22.89104,0.00035,0.00036,0.013711309,0.00058346
HD 332231 b,2056007995732413312,18.71204,0.00043,0.00043,0.069763888,0.000415688
HD 73583 b,5746824674801810816,6.39805,0.00001,0.00001,0.030495901,0.000918156
HD 89345 b,3877070590167177344,11.8143,0.0002,0.0002,0.038845849,0.001171296
HD 97658 b,3997075206232885888,9.4897116,0.0000008,0.0000008,0.026683328,0.000712055
HIP 113103 b,6541360574788758016,7.610303,0.000018,0.000018,0.024413111,0.001269809
HIP 113103 c,6541360574788758016,14.245648,0.000019,0.000019,0.03241913,0.001696529
K2-11 b,3810535361999701376,39.93767,0.23229,0.23229,0.026457513,
K2-114 b,602494855483616256,11.3909311,0.0000034,0.0000034,0.011627553,0.000154805
K2-13 b,3811032513054107648,39.91488,0.32477,0.32477,0.024083189,
K2-133 e,148080473682357376,26.5841,0.0018,0.0017,0.031416556,0.001368705
K2-14 b,3892632287473304064,8.36802,0.00019,0.00019,0.097108187,
K2-140 b,3579426053724051584,6.569188,0.000031,0.000031,0.124779806,8.01412E-05
K2-15 b,3896271842760486272,11.8104,0.00204,0.00204,0.034785054,
K2-152 b,3596508242468505216,32.6479,0.01141,0.01483,0.039874804,
K2-153 b,3700937760929835648,7.51574,0.00205,0.0024,0.03591657,
K2-154 b,3683121446312149504,3.67626,0.0003,0.00031,0.033166248,
K2-154 c,3683121446312149504,7.95486,0.00084,0.00085,0.033166248,
K2-155 b,145333927996558976,6.342,0.002,0.002,0.02607681,0.000958706
K2-155 c,145333927996558976,13.85,0.006,0.006,0.032093613,0.001557942
K2-155 d,145333927996558976,40.718,0.005,0.005,0.027202941,0.002205644
K2-158 b,3596003497911958528,10.06049,0.00134,0.00148,0.026457513,
K2-158 c,3596003497911958528,5.90279,0.00191,0.00233,0.012247449,
K2-159 b,3600851450836925312,12.42205,0.0018,0.00182,0.025495098,
K2-162 b,3694878833385971840,9.45889,0.00104,0.00107,0.016337074,
K2-166 b,3701015375282968064,8.52695,0.00362,0.0037,0.012649111,
K2-17 b,3899064464855774592,17.96753,0.00152,0.00152,0.031464265,
K2-212 b,2538824923230146560,9.795647,0.000021,0.000021,0.035772895,0.000125794
K2-224 b,3578783977588991360,4.47904,0.00116,0.00132,0.018083141,
K2-224 c,3578783977588991360,10.09489,0.00119,0.00114,0.024347484,
K2-225 b,3579573358218514944,15.87209,0.00387,0.00338,0.018439089,
K2-226 b,3581264372742210048,3.27108,0.00049,0.0005,0.016431677,
K2-228 b,3583611726987567232,2.69828,0.00022,0.00022,0.016084154,
K2-229 c,3583630929786305280,8.32727,0.00041,0.00043,0.023075962,
K2-230 b,3676684252407983488,2.86041,0.00061,0.00061,0.014142136,
K2-237 b,6032746832450438400,2.18053539,0.00000086,0.00000085,0.117686023,0.002761585
K2-239 b,3857872051994269824,5.24,0.001,0.001,0.025884358,0.001352168
K2-239 c,3857872051994269824,7.775,0.001,0.001,0.024083189,0.00166091
K2-239 d,3857872051994269824,10.115,0.001,0.001,0.025495098,0.001176697
K2-240 b,6257625719430982016,6.034,0.001,0.001,0.036193922,0.001381447
K2-240 c,6257625719430982016,20.523,0.001,0.001,0.031304952,0.002555506
K2-241 b,3594882751966012160,26.8199,0.00245,0.00247,0.03,
K2-242 b,3595647565382917120,6.51389,0.00082,0.00083,0.078993671,
