KOI,Host Gaia DR3 ID,P,P pe,P me,PSR,PSR pme
TOI-3785 b,1044013542142711296,4.6747373,0.0000038,0.0000038,0.096197713,1.55929E-05
TOI-1260 b,1053809778428567680,3.127463,0.000005,0.000005,0.032893768,0.000562417
TOI-1260 c,1053809778428567680,7.493134,0.00002,0.00002,0.037696154,0.000729517
TOI-1260 d,1053809778428567680,16.608164,0.000083,0.000083,0.042520583,0.000917203
TOI-1194 b,1074139748425931008,2.310644,0.000001,0.000001,0.081957306,0.000475858
KELT-24 b,1076970406751899008,5.5514926,0.0000081,0.000008,0.086775573,0.000691439
TOI-4127 b,1111639314047794944,56.39879,0.0001,0.0001,0.086371292,0.001563019
HAT-P-25 b,111322601672419712,3.65281514,0.00000076,0.00000075,0.012688578,0.000106395
TOI-3807 b,1117620107545810944,2.8989727,0.0000038,0.0000039,0.116619038,
TOI-2096 b,1126422935076082176,3.1190633,0.00001,0.0000093,0.051575188,0.001648079
TOI-2096 c,1126422935076082176,6.38784,0.000012,0.000012,0.079749608,0.001128532
TOI-3912 b,1255520718461480960,3.4936264,0.0000038,0.0000038,0.094074439,0.001009839
XO-1 b,1316708918505350528,3.94153,0.000027,0.000027,0.134164079,0.000447214
HD 149026 b,1331356474971716992,2.87589,0.000002,0.000002,0.053851648,0.000807775
TOI-2145 b,1344163891352965632,10.26075,0.00083,0.00082,0.039962482,0.000437911
WASP-150 b,1416731285125373184,5.644207,0.000003,0.000004,0.066332496,0.000753778
WASP-92 b,1424011082893734272,2.1746742,0.0000016,0.0000016,0.111982141,0.001294849
K2-155 b,145333927996558976,6.342,0.002,0.002,0.02607681,0.000958706
K2-155 c,145333927996558976,13.85,0.006,0.006,0.032093613,0.001557942
K2-155 d,145333927996558976,40.718,0.005,0.005,0.027202941,0.002205644
KELT-6 b,1464700950221781504,7.8457,0.0002,0.0002,0.077459667,0.000968246
TOI-1807 b,1476485996883837184,0.549372,0.000007,0.000007,0.017663522,0.000424604
K2-133 e,148080473682357376,26.5841,0.0018,0.0017,0.031416556,0.001368705
TOI-1416 b,1491634483976350720,1.0697568,0.0000028,0.0000028,0.021330729,
HAT-P-12 b,1499514786891168640,3.2130598,0.0000021,0.0000021,0.140605832,0.001315735
WASP-113 b,1587399232335653760,4.54216875,0.0000042,0.0000042,0.089944427,0.001556517
TOI-1268 b,1675923005135391488,8.1577094,0.0000045,0.0000045,0.090476516,0.001132891
TOI-2257 b,1716345832872291968,35.189346,0.00009,0.00009,0.064265076,0.00140045
TOI-4087 b,1725490333641502976,3.1774835,0.00000094,0.00000094,0.10754069,0.000460291
WASP-90 b,1737061349198867456,3.916243,0.000003,0.000003,0.084261498,0.001186782
MASCARA-1 b,1744911763437512064,2.14877381,0.00000088,0.00000087,0.078841613,0.000221964
