KOI,Host KOI,Kepler name,Host Gaia DR3 ID,PSR,PSR pe,PSR me
K01944.01,KOI-1944,,2051104586182508928,,,
K00440.01,KOI-440,Kepler-156 c,2051105410816218368,,,
K00440.02,KOI-440,Kepler-156 b,2051105410816218368,,,
K01001.01,KOI-1001,Kepler-264 b,2051738798233021824,,,
K00490.04,KOI-490,Kepler-167 A d,2051933102555095936,,,
K00490.03,KOI-490,Kepler-167 A c,2051933102555095936,,,
K00490.01,KOI-490,Kepler-167 A b,2051933102555095936,,,
K01198.03,KOI-1198,Kepler-275 d,2051950454223150720,,,
K01198.01,KOI-1198,Kepler-275 c,2051950454223150720,,,
K01198.02,KOI-1198,Kepler-275 b,2051950454223150720,,,
K00384.01,KOI-384,Kepler-541 b,2052168466766597120,,,
K00386.02,KOI-386,Kepler-146 c,2052185062520374272,,,
K00386.01,KOI-386,Kepler-146 b,2052185062520374272,,,
K01203.01,KOI-1203,Kepler-276 c,2052304325169514880,,,
K01203.02,KOI-1203,Kepler-276 b,2052304325169514880,,,
K01199.01,KOI-1199,Kepler-786 b,2052392835854583936,,,
K00988.02,KOI-988,Kepler-261 c,2052528625536778624,,,
K00988.01,KOI-988,Kepler-261 b,2052528625536778624,,,
K00800.02,KOI-800,Kepler-234 c,2052688467040906624,,,
K00800.01,KOI-800,Kepler-234 b,2052688467040906624,,,
K00069.01,KOI-69,Kepler-93 b,2052747119115620352,0.014863227,9.94E-05,4.42E-05
K01102.03,KOI-1102,Kepler-24 e,2052823535171095296,,,
K01102.04,KOI-1102,Kepler-24 d,2052823535171095296,,,
K01860.04,KOI-1860,,2052975370856687744,,,
K01860.03,KOI-1860,,2052975370856687744,,,
K01860.02,KOI-1860,Kepler-416 c,2052975370856687744,,,
K01860.01,KOI-1860,Kepler-416 b,2052975370856687744,,,
K00232.05,KOI-232,Kepler-122 f,2053070616052194304,,,
K00232.04,KOI-232,Kepler-122 e,2053070616052194304,,,
K00232.03,KOI-232,Kepler-122 d,2053070616052194304,,,
K00232.02,KOI-232,Kepler-122 b,2053070616052194304,,,
K00555.02,KOI-555,Kepler-598 c,2053546910744629504,,,
K00555.01,KOI-555,Kepler-598 b,2053546910744629504,,,
K01060.04,KOI-1060,Kepler-758 e,2053552270863859712,,,
K01060.03,KOI-1060,Kepler-758 d,2053552270863859712,,,
K01060.02,KOI-1060,Kepler-758 c,2053552270863859712,,,
K01060.01,KOI-1060,Kepler-758 b,2053552270863859712,,,
