KOI,Host KOI,Kepler name,Host Gaia DR3 ID,P,P pme,PSR,PSR pme
K01944.01,KOI-1944,KOI-1944.01,2051104586182508928       ,12.184169,0.000012,0.0223455,0.0008047
K00440.01,KOI-440,Kepler-156 c,2051105410816218368       ,15.906867,0.000018,0.0261369,0.001351
K00440.02,KOI-440,Kepler-156 b,2051105410816218368       ,4.973444,0.00001,0.0280884,0.0010611
K01001.01,KOI-1001,Kepler-264 b,2051738798233021824       ,40.806846,0.00002,0.0158769,0.0003331
K00490.01,KOI-490,Kepler-167 A b,2051933102555095936       ,4.393153,0.000004,0.0184015,0.0004468
K00490.03,KOI-490,Kepler-167 A c,2051933102555095936       ,7.406109,0.000008,0.0181944,0.000476
K00490.04,KOI-490,Kepler-167 A d,2051933102555095936       ,21.80387,0.000019,0.0138076,0.0010162
K01198.01,KOI-1198,Kepler-275 c,2051950454223150720       ,16.088329,0.000018,0.023246,0.0011342
K01198.02,KOI-1198,Kepler-275 b,2051950454223150720       ,10.300658,0.000019,0.0135627,0.0012862
K01198.03,KOI-1198,Kepler-275 d,2051950454223150720       ,35.675697,0.00002,0.0157244,0.0018742
K00384.01,KOI-384,Kepler-541 b,2052168466766597120       ,5.080068,0.000014,0.0140605,0.0005329
K00386.01,KOI-386,Kepler-146 b,2052185062520374272       ,31.158789,0.000019,0.029662,0.0007106
K00386.02,KOI-386,Kepler-146 c,2052185062520374272       ,76.732517,0.00002,0.0257895,0.0012929
K01203.01,KOI-1203,Kepler-276 c,2052304325169514880       ,31.884154,0.00002,0.0241549,0.0011449
K01203.02,KOI-1203,Kepler-276 b,2052304325169514880       ,14.128467,0.000017,0.022747,0.0011384
K01199.01,KOI-1199,Kepler-786 b,2052392835854583936       ,53.529348,0.00002,0.029212,0.0015939
K00988.01,KOI-988,Kepler-261 b,2052528625536778624       ,10.381225,0.000009,0.0267855,0.0003535
K00988.02,KOI-988,Kepler-261 c,2052528625536778624       ,24.570817,0.000015,0.0280271,0.0005665
K00800.01,KOI-800,Kepler-234 b,2052688467040906624       ,2.711494,0.000008,0.0259437,0.0010392
K00800.02,KOI-800,Kepler-234 c,2052688467040906624       ,7.21203,0.000017,0.028294,0.001197
K00069.01,KOI-69,Kepler-93 b,2052747119115620352       ,4.726739,0.000001,0.0151309,0.0001247
