Gaia DR3 ID,Teff,Teff pe,Teff me,Metalicity,Metal pe,Metal me
1044013542142711296,3576,88,88,0.099,0.117,0.117
1053809778428567680,4227,85,85,-0.1,0.07,0.07
1074139748425931008,5446,51,48,0.29,0.078,0.078
1076970406751899008,6509,50,49,0.186,0.077,0.076
1111639314047794944,6096,115,115,0.14,0.12,0.12
111322601672419712,5519,78,76,0.294,0.08,0.08
1117620107545810944,5772,84,80,0.278,0.084,0.081
1126422935076082176,3300,50,50,-0.03,0.2,0.2
1255520718461480960,5725,69,68,0.187,0.087,0.09
1316708918505350528,5750,75,75,0.02,,
1331356474971716992,6179,15,15,0.32,,
1344163891352965632,6177,67,67,0.247,0.074,0.072
1416731285125373184,6218,49,45,0.156,0.1,0.089
1424011082893734272,6280,120,120,0,0.14,0.14
145333927996558976,4258,150,150,-0.3,0.2,0.2
1464700950221781504,6102,43,43,-0.28,0.28,-0.28
1476485996883837184,4757,51,50,-0.029,0.061,0.043
148080473682357376,3655,80,80,,,
1491634483976350720,4884,70,70,0.08,0.05,0.05
1499514786891168640,4650,60,60,-0.29,0.05,0.05
1587399232335653760,5890,140,140,0.1,0.09,0.09
1675923009431370880,5300,100,100,0.36,0.06,0.06
1716345832872291968,3430,130,130,-0.27,0.37,0.37
1725490333641502976,6060,74,67,0.237,0.079,0.079
1737061349198867456,6430,130,130,0.11,0.14,0.14
1744911763437512064,7490,150,150,0.15,0.15,0.15
1750321012752775040,5941,77,79,0.164,0.081,0.082
1779546757669063552,6091,10,10,0.01,,
179498266829041664,5568,90,90,0.22,,
1808938730710633984,5905,80,80,0.15,0.04,0.04
181908842994567936,6768,7,7,,,
1835842749465226368,6820,52,52,0.07,,
1849786481032616960,5246,80,80,,,
1909762228985058944,4675,100,4675,,,
1925321658551399040,6570,80,80,-0.13,0.13,-0.13
1962153854973972096,6080,100,100,0.22,,
2009481748875806976,4699,16,16,0.11,0.04,0.04
2033123654092592384,8720,250,260,-0.29,0.22,0.36
2048464796210957440,6250,200,200,-0.5,0.5,0.5
2051027792165858304,4805,144,144,-0.06,0.3,0.3
2051104586182508928,,,,,,
2051105410816218368,,,,,,
2051368434612892800,5942,176,193,-0.06,0.25,0.3
2051738798233021824,,,,,,
2051866238502437632,6145,99,80,0.119,0.08,0.075
2051933102555095936,,,,,,
2051950454223150720,,,,,,
2052136821446989568,6175,168,194,-0.42,0.28,0.3
2052139123549626240,5819,69,87,0.14,0.15,0.15
2052168466766597120,,,,,,
2052185062520374272,,,,,,
2052304325169514880,,,,,,
2052392835854583936,,,,,,
2052528625536778624,,,,,,
2052688467040906624,,,,,,
2052747119115620352,,,,,,
2052823535171095296,,,,,,
2052826318309391104,4883,146,132,0.56,0.05,0.3
2052975370856687744,5670,114,114,0.06,0.15,0.15
2053070616052194304,,,,,,
2053546910744629504,,,,,,
2053552270863859712,,,,,,
2053562475706063744,3820,90,90,0.28,0.14,0.14
2053586321364864640,,,,,,
2054523105274216704,7598,81,84,-0.405,0.032,0.033
2056007995732413312,6089,97,96,0.036,0.059,0.058
2073153024144692736,5745,86,77,0.4,0.05,0.15
2073274618947678464,6100,193,214,-0.12,0.25,0.3
2073277200237694464,,,,,,
2073539536845074176,,,,,,
2073547954981763328,,,,,,
2073652546016392448,4224,84,84,-0.2,0.15,0.15
2073697660354300544,5135,84,76,0.12,0.15,0.15
2073731161099713408,,,,,,
2073804411752924288,,,,,,
2075112109039378688,,,,,,
2075161655782111872,,,,,,
2076121602454770560,5751,103,114,0.21,0.15,0.15
2076185408488670208,5738,156,173,-0.06,0.3,0.3
2076328963475704576,,,,,,
2076454445237794432,4821,76,76,0.16,0.15,0.15
2076565805151925760,,,,,,
2076601917234347520,,,,,,
2076692386427776768,,,,,,
2076764576237957504,,,,,,
2076782889978499840,,,,,,
2076792648144511104,,,,,,
2076871091425583232,,,,,,
2076955822541823744,,,,,,
2076960598545789824,,,,,,
2076970047474270208,,,,,,
2077140987172577408,,,,,,
2077540827141811200,,,,,,
2077556465126659456,,,,,,
2077598384004774912,,,,,,
2077726678964445696,5370,85,75,0.14,0.15,0.15
2077750803804146176,,,,,,
2077961463362645632,,,,,,
2077994272606400512,,,,,,
2078000289864478976,4769,172,172,0.12,0.25,0.3
2078195212660287616,,,,,,
2078272831307891456,,,,,,
2078286197246582016,,,,,,
2078515170549178880,,,,,,
2078648211455026432,5440,162,162,-0.24,0.35,0.3
2078697552035948800,,,,,,
2078722600285671936,,,,,,
2078832551450444032,,,,,,
2078996825361036160,6033,183,183,-0.1,0.3,0.3
2079005651508492032,,,,,,
2079192121810035840,,,,,,
2079295583282164992,,,,,,
2079368391569401600,,,,,,
2079695496278608896,,,,,,
2079807646464016256,5295,185,185,-0.1,0.3,0.3
2079880695265507328,5383,107,107,0,0.15,0.15
2079885608708649344,,,,,,
2080246282881778048,,,,,,
2080266967444876032,6065,155,180,-0.28,0.28,0.3
2080271674728481280,5495,74,82,0.16,0.15,0.15
2080287892525359872,3900,200,200,0,0.4,0.4
2080296757338392576,6215,194,259,-0.06,0.25,0.35
2080344586094498432,,,,,,
2080386917291928832,,,,,,
2080452613110460928,,,,,,
2080466185207274880,5818,139,157,-0.22,0.3,0.3
2080562667352233728,,,,,,
2080605823183999616,5676,115,104,0.1,0.15,0.15
2082074942519913344,,,,,,
2082161219824397568,6432,155,214,-0.34,0.25,0.3
2085204015173031552,6120,195,217,0.02,0.25,0.3
2085527924426959104,5211,181,163,0.08,0.25,0.3
2086337508581280256,,,,,,
2086389357427331712,,,,,,
2086505630781210752,,,,,,
2086625752425381632,,,,,,
2086629463276947456,,,,,,
2086660283961964416,,,,,,
2086718317558873984,,,,,,
2086940448965828992,,,,,,
2087171453788422528,,,,,,
2087250476887856256,,,,,,
2099541715513813504,,,,,,
2099583977992504576,5874,87,79,0.12,0.15,0.15
2099605968225288960,,,,,,
2099606483621385216,,,,,,
2099656472742686848,,,,,,
2099854801450635520,5251,158,158,-0.04,0.3,0.3
2099862910348755712,,,,,,
2099925719951103872,,,,,,
2100389610777053056,,,,,,
2100392428275714688,,,,,,
2100416823690394624,,,,,,
2100524610190045312,6202,99,149,0.21,0.15,0.15
2100597143598879616,,,,,,
2100624562669914240,,,,,,
2100906140725803392,,,,,,
2101035367703145088,6688,187,281,0.07,0.25,0.35
2101175933393051008,,,,,,
2101188990094347648,,,,,,
2101230049979183232,,,,,,
2101243789577188736,,,,,,
2101305259145506816,,,,,,
2101508501301083520,3638,72,87,-0.14,0.15,0.15
2101719263935952768,,,,,,
2101733244046205568,,,,,,
2101768089124657664,,,,,,
2101854881822529024,,,,,,
2101898759208960640,,,,,,
2101964558106974848,,,,,,
2102063136195478656,,,,,,
2102067396802935680,,,,,,
2102070660978313472,6340,176,199,-0.38,0.28,0.3
2102110174677569664,,,,,,
