Gaia DR3 ID,Teff,Teff pe,Teff me,Radius,Rad,Rad pe,Rad me,Metalicity,Metal pme
1044013542142711296,,,,,,,,,
1053809778428567680,,,,,,,,,
1074139748425931008,,,,,,,,,
1076970406751899008,,,,,,,,,
1111639314047794944,,,,,,,,,
111322601672419712,,,,,,,,,
1117620107545810944,,,,,,,,,
1126422935076082176,,,,,,,,,
1255520718461480960,,,,,,,,,
1316708918505350528,,,,,,,,,
1331356474971716992,,,,,,,,,
1344163891352965632,,,,,,,,,
1416731285125373184,,,,,,,,,
1424011082893734272,,,,,,,,,
145333927996558976,,,,,,,,,
1464700950221781504,,,,,,,,,
1476485996883837184,,,,,,,,,
148080473682357376,,,,,,,,,
1491634483976350720,,,,,,,,,
1499514786891168640,,,,,,,,,
1587399232335653760,,,,,,,,,
1675923009431370880,,,,,,,,,
1716345832872291968,,,,,,,,,
1725490333641502976,,,,,,,,,
1737061349198867456,,,,,,,,,
1744911763437512064,,,,,,,,,
1750321012752775040,,,,,,,,,
1779546757669063552,,,,,,,,,
179498266829041664,,,,,,,,,
1808938730710633984,,,,,,,,,
181908842994567936,,,,,,,,,
1835842749465226368,,,,,,,,,
1849786481032616960,,,,,,,,,
1909762228985058944,,,,,,,,,
1925321658551399040,,,,,,,,,
1962153854973972096,,,,,,,,,
2009481748875806976,,,,,,,,,
2033123654092592384,,,,,,,,,
2048464796210957440,,,,,,,,,
2051027792165858304,,,,,,,,,
2051104586182508928,5739,60,60,1.526,0.034,0.034,0.033,0.07,0.04
2051105410816218368,5078,60,60,1.655,0.047,0.047,0.045,0.17,0.04
2051368434612892800,,,,,,,,,
2051738798233021824,6284,60,60,1.289,0.032,0.032,0.031,0.13,0.04
2051866238502437632,,,,,,,,,
2051933102555095936,4868,60,60,0.941,0.022,0.022,0.022,0.03,0.04
2051950454223150720,6179,60,60,0.88,0.021,0.021,0.02,0.08,0.04
2052136821446989568,,,,,,,,,
2052139123549626240,,,,,,,,,
2052168466766597120,6178,60,60,1.083,0.026,0.026,0.025,0.04,0.04
2052185062520374272,6001,60,60,0.724,0.018,0.018,0.018,0.08,0.04
2052304325169514880,5693,60,60,1.443,0.033,0.033,0.032,-0.29,0.04
2052392835854583936,4772,60,60,1.064,0.024,0.024,0.024,0.11,0.04
2052528625536778624,5121,60,60,1.368,0.033,0.033,0.032,0.11,0.04
2052688467040906624,5911,60,60,1.105,0.033,0.033,0.032,0.22,0.04
2052747119115620352,5594,60,60,0.745,0.02,0.02,0.019,-0.09,0.04
