source_id,radius_flame,radius_flame_lower,radius_flame_upper
58200934326315136,1.0886359,1.0712875,1.1003671
61607255708760960,0.9991431,0.9781793,1.0200723
111322601672419712,1.068451,1.0619636,1.0761187
145333927996558976,0.55484647,0.5350642,0.57463455
148080473682357376,0.46582368,0.43693405,0.49471146
179498266829041664,1.1371807,1.1132973,1.161312
181908842994567936,1.7821016,1.7458876,1.8188801
306410392895767680,,,
338382713564401920,2.238252,2.1905198,2.2865694
363702817083391232,1.1223565,1.098818,1.1469425
382111248777193216,1.1208404,1.0978055,1.1438357
385697172809355392,0.8180124,0.80063695,0.8355641
404433018447476096,0.78498983,0.76849526,0.8014893
415703635408772480,,,
427224073427887360,0.57765704,0.53987616,0.61543906
457317534880081152,,,
470650560779277952,1.5261508,1.494287,1.5581897
497750842338402560,1.473315,1.4428898,1.5038918
534988616816537728,,,
545560867790611072,1.5531057,1.52182,1.5854906
570653411060484480,1.4471252,1.4177923,1.4765218
596931979481073152,1.0916137,1.068848,1.1143869
602494855483616256,0.8384779,0.81930655,0.8583337
646125297938578944,2.103899,2.0610044,2.146636
651935220461650560,1.7256107,1.6903015,1.7610018
684992690384102528,,,
702295464353437952,1.5481696,1.5150099,1.5811743
770622651659107712,1.2670937,1.2406452,1.2937124
869913435026514688,0.72035813,0.7037309,0.7369856
876608292608416512,1.564833,1.5307591,1.5980356
898130030131443584,1.2772624,1.250388,1.3044184
920308932010648448,1.108314,1.0853877,1.1313164
990291507088739072,1.5365424,1.5049973,1.5681465
1044013542142711296,0.56619704,0.534845,0.59751284
1053809778428567680,,,
1074139748425931008,0.96462107,0.94480115,0.9844169
1076970406751899008,1.478384,1.4487,1.5080695
1111639314047794944,1.2932814,1.2663563,1.3202568
1117620107545810944,1.438147,1.40886,1.4675965
1126422935076082176,,,
1255520718461480960,1.4080441,1.3789759,1.4370848
1316708918505350528,0.91881096,0.9001002,0.9375159
1331356474971716992,1.4971453,1.4671236,1.5271789
1344163891352965632,2.9059532,2.8472106,2.964894
1416731285125373184,1.6940048,1.6585091,1.7297382
1424011082893734272,1.3055764,1.2777805,1.3327582
1464700950221781504,1.6483556,1.6143405,1.6828915
1476485996883837184,0.7364106,0.71941113,0.75341165
1491634483976350720,0.81041276,0.793128,0.82769704
1499514786891168640,0.74489874,0.72741735,0.76235
1587399232335653760,1.7191885,1.6839108,1.7547505
1675923009431370880,0.9007878,0.8821614,0.91943145
1716345832872291968,,,
1725490333641502976,1.1427443,1.1195056,1.1660272
1737061349198867456,1.9232618,1.8759338,1.9716237
1744911763437512064,,,
1750321012752775040,1.8942262,1.8533821,1.9351873
1779546757669063552,1.1971555,1.1730993,1.2212105
1808938730710633984,1.1920465,1.1677748,1.2166249
1835842749465226368,1.9906454,1.9493194,2.031617
1849786481032616960,0.8768332,0.85876817,0.8948911
1909762228985058944,0.74632215,0.72945887,0.76322967
1925321658551399040,1.5999188,1.5665396,1.6334095
1962153854973972096,,,
2009481748875806976,,,
2033123654092592384,1.6535217,1.6200763,1.6869459
2048464796210957440,0.7096118,0.6815436,0.7408758
2051027792165858304,0.6897532,0.669618,0.7081163
2051104586182508928,0.94419426,0.9366289,0.9527504
2051105410816218368,0.8151273,0.7972765,0.8328933
2051368434612892800,0.9753009,0.9463653,1.0102828
2051738798233021824,,,
2051866238502437632,1.3094412,1.2826463,1.3361992
2051933102555095936,0.7599856,0.742787,0.7770479
2051950454223150720,1.3650557,1.2995704,1.4150714
2052136821446989568,1.5329694,1.4952941,1.5734019
2052139123549626240,1.356446,1.2878937,1.4271077
2052168466766597120,2.1522264,2.104554,2.1998158
2052185062520374272,1.1155456,1.0912478,1.1393186
2052304325169514880,0.9013704,0.87563306,0.93024194
2052392835854583936,0.76032203,0.74180746,0.7790756
2052528625536778624,0.7848251,0.76788384,0.80177957
2052688467040906624,1.256731,1.2044507,1.3129231
2052747119115620352,0.9471395,0.92793137,0.9665402
2052823535171095296,1.1556762,1.1242883,1.1884993
2052826318309391104,0.774357,0.75678736,0.79207903
2052975370856687744,1.02011,0.9982044,1.042283
2053070616052194304,1.3237374,1.2928661,1.353436
2053546910744629504,0.8584561,0.83730453,0.87821186
2053552270863859712,1.4977385,1.4514316,1.5407293
2053562475706063744,0.6691427,0.6474923,0.6908464
2053586321364864640,0.8754553,0.84705913,0.9040465
2054523105274216704,1.7289097,1.6892809,1.7678698
2056007995732413312,1.300195,1.2741067,1.3262877
2073153024144692736,1.5392992,1.5063559,1.5737842
2073274618947678464,1.0317585,1.0058835,1.0583149
2073277200237694464,0.80427927,0.78672785,0.8219059
2073539536845074176,1.7550845,1.7183418,1.7927744
2073547954981763328,0.8147448,0.7908194,0.837277
2073652546016392448,0.69206023,0.6727315,0.7118158
