designation,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
"Gaia DR3 1053809778428567680",,,,,,,"Gaia DR3 1053809778428567680",157.14401106412535,65.85418726790246,13.6226,-177.3399,-81.6926,-16.6983,2016.0,0.0
"Gaia DR3 1126422935076082176",,,,,,,"Gaia DR3 1126422935076082176",151.61868523097365,74.82720028881778,20.6355,-25.8265,-75.1043,11.4142,2016.0,0.0
"Gaia DR3 1716345832872291968",,,,,,,"Gaia DR3 1716345832872291968",194.7395907678979,77.66172008723437,17.2826,-36.0353,31.4076,-18.6194,2016.0,0.0
"Gaia DR3 1744911763437512064",,,,,,,"Gaia DR3 1744911763437512064",317.5515255375414,10.738897370652337,5.4889,-5.6908,5.0663,9.2092,2016.0,1.7763568394002505E-15
"Gaia DR3 1962153854973972096",,,,,,,"Gaia DR3 1962153854973972096",335.51292167392506,45.45734141046544,2.0534,8.966,-5.5617,-25.7784,2016.0,7.105427357601002E-15
"Gaia DR3 2009481748875806976",,,,,,,"Gaia DR3 2009481748875806976",348.33773395483047,57.16966644274312,152.864,2074.4135,294.452,-18.675,2016.0,3.081783844965638E-14
"Gaia DR3 2051104586182508928",5661.4326,5626.7393,5744.1763,-0.1026,-0.1403,-0.005,"Gaia DR3 2051104586182508928",290.3286448558638,37.723118923669155,1.5887,-3.4334,0.6714,-35.8751,2016.0,0.0
"Gaia DR3 2051105410816218368",4972.9956,4964.785,4981.3896,0.1581,0.1468,0.1686,"Gaia DR3 2051105410816218368",290.29641883337683,37.749424906111955,2.2599,-14.7967,-15.652,-26.0823,2016.0,7.105427357601002E-15
"Gaia DR3 2051738798233021824",,,,,,,"Gaia DR3 2051738798233021824",292.04462853128604,37.37618483079783,1.0268,2.8546,-9.0387,-18.1222,2016.0,0.0
"Gaia DR3 2051933102555095936",4777.2373,4766.392,4789.9214,0.1311,0.1162,0.1461,"Gaia DR3 2051933102555095936",292.6585280083309,38.34556080186814,2.9157,15.0967,36.3525,-26.7894,2016.0,7.105427357601002E-15
"Gaia DR3 2051950454223150720",6121.6646,6062.7183,6173.0146,-0.1039,-0.1519,-0.0571,"Gaia DR3 2051950454223150720",292.4797002723272,38.51490162207004,0.5035,-0.5815,-1.5586,0.0,2016.0,7.105427357601002E-15
"Gaia DR3 2052168466766597120",6133.7817,6127.165,6140.014,-7.0E-4,-0.0066,0.0052,"Gaia DR3 2052168466766597120",294.14965216606987,38.45820522181965,0.9193,-3.9313,-12.901,-17.8943,2016.0,7.105427357601002E-15
"Gaia DR3 2052185062520374272",5707.1704,5686.036,5733.2065,-0.2861,-0.3076,-0.2573,"Gaia DR3 2052185062520374272",294.11076292893904,38.71022197782799,1.3801,-0.701,-1.3543,13.5641,2016.0,0.0
"Gaia DR3 2052304325169514880",5646.075,5616.336,5696.0244,-0.4288,-0.4634,-0.3657,"Gaia DR3 2052304325169514880",293.5681984074227,39.036312444161155,0.8981,7.9459,1.0747,0.0,2016.0,0.0
"Gaia DR3 2052392835854583936",4660.2617,4649.0874,4672.1064,0.224,0.2028,0.2433,"Gaia DR3 2052392835854583936",293.7439215036292,38.93922024895193,2.0102,-4.6961,-10.6591,-36.3349,2016.0,4.4213556486761307E-14
"Gaia DR3 2052528625536778624",4968.373,4961.123,4976.554,-0.021,-0.03,-0.0106,"Gaia DR3 2052528625536778624",291.3647326109745,37.609241060544655,3.1464,-4.1757,14.7646,-24.4007,2016.0,7.105427357601002E-15
"Gaia DR3 2052688467040906624",5875.504,5832.9014,5934.301,0.1233,0.0808,0.1939,"Gaia DR3 2052688467040906624",291.6535383542165,38.49466000176565,0.5474,2.7187,2.2543,0.0,2016.0,4.4489421052311296E-14
"Gaia DR3 2052747119115620352",5657.4126,5652.8765,5677.8325,-0.2088,-0.2127,-0.1941,"Gaia DR3 2052747119115620352",291.41812236713093,38.672311565036644,10.4148,-28.6715,-5.722,27.2379,2016.0,0.0
"Gaia DR3 2052823535171095296",6017.2056,5995.993,6039.8364,-0.0485,-0.0711,-0.0252,"Gaia DR3 2052823535171095296",290.4132616970433,38.34372806856851,0.8312,-2.1531,-1.8216,0.0,2016.0,4.458247118621589E-14
"Gaia DR3 2053070616052194304",5787.1567,5779.949,5794.303,-0.2818,-0.2895,-0.274,"Gaia DR3 2053070616052194304",291.11186422759204,39.94902379795604,0.9446,-2.8094,-7.0857,19.5487,2016.0,0.0
"Gaia DR3 2053546910744629504",5238.389,5223.382,5257.2793,0.0042,-0.0138,0.0248,"Gaia DR3 2053546910744629504",293.1234499269855,40.93480138893501,1.4547,3.6126,6.2154,-37.913,2016.0,4.2942681430071E-14
"Gaia DR3 2053552270863859712",6642.582,6627.149,6658.35,-0.2624,-0.2765,-0.248,"Gaia DR3 2053552270863859712",293.08461132049683,41.13540392256028,0.6592,-1.0709,-6.6624,2.3653,2016.0,0.0
"Gaia DR3 2053586321364864640",5052.205,5029.9795,5080.142,-0.0279,-0.0522,0.0064,"Gaia DR3 2053586321364864640",292.2367612281806,41.08587091292437,0.9298,2.1706,-0.3244,0.0,2016.0,0.0
"Gaia DR3 2073277200237694464",4772.218,4762.275,4789.3613,0.1876,0.1753,0.2019,"Gaia DR3 2073277200237694464",296.5245248969319,39.2498529653595,3.2392,34.3978,19.3011,-11.3271,2016.0,7.105427357601002E-15
"Gaia DR3 2073539536845074176",5839.9473,5820.3496,5879.7407,-0.1728,-0.1905,-0.1373,"Gaia DR3 2073539536845074176",298.9917167138223,40.14225490833302,2.1847,0.8511,-36.4721,-7.3822,2016.0,7.105427357601002E-15
"Gaia DR3 2073547954981763328",4935.742,4915.4077,4956.136,0.106,0.0783,0.1319,"Gaia DR3 2073547954981763328",299.22425369531294,40.34316664535255,1.1514,-11.1872,-2.8287,0.0,2016.0,7.105427357601002E-15
"Gaia DR3 2073731161099713408",5739.3975,5715.103,5750.5874,0.0159,-0.0096,0.0264,"Gaia DR3 2073731161099713408",297.0698323520349,40.52520571016794,8.1211,32.9212,13.543,-47.6695,2016.0,4.3207830068046636E-14
"Gaia DR3 2073804411752924288",,,,,,,"Gaia DR3 2073804411752924288",298.589195124813,40.750691858164174,1.7353,1.4717,-1.4987,-46.4366,2016.0,0.0
"Gaia DR3 2075112109039378688",5068.2783,5061.7856,5075.9214,0.1398,0.1311,0.1487,"Gaia DR3 2075112109039378688",299.13931178730104,40.94893620015961,3.2283,13.215,-20.4097,-13.3448,2016.0,0.0
"Gaia DR3 2075161655782111872",5248.539,5234.149,5259.245,0.1059,0.0942,0.1158,"Gaia DR3 2075161655782111872",299.3196740288222,41.384747214814375,4.0579,17.3574,18.7323,-22.3826,2016.0,7.105427357601002E-15
"Gaia DR3 2076328963475704576",4555.349,4550.57,4563.451,0.4872,0.4711,0.501,"Gaia DR3 2076328963475704576",296.1125756515733,39.97874410987316,2.6675,-1.3733,-7.2066,-3.5284,2016.0,0.0
"Gaia DR3 2076565805151925760",4685.2856,4651.451,4699.2886,0.1583,0.0931,0.1815,"Gaia DR3 2076565805151925760",294.4418028422783,40.55754031496123,2.2497,-1.123,-3.3769,-26.8137,2016.0,0.0
"Gaia DR3 2076601917234347520",5575.019,5555.749,5594.6196,-0.6572,-0.6779,-0.6378,"Gaia DR3 2076601917234347520",295.2173270943838,40.592156611365546,1.068,3.0824,-11.876,12.2672,2016.0,0.0
"Gaia DR3 2076692386427776768",5521.203,5499.4497,5538.595,-0.2153,-0.2364,-0.1969,"Gaia DR3 2076692386427776768",295.28723274149723,41.22200472310721,1.0986,5.3739,10.1036,0.0,2016.0,0.0
"Gaia DR3 2076764576237957504",4545.8384,4537.4214,4553.279,0.2011,0.1859,0.217,"Gaia DR3 2076764576237957504",297.07020512138837,40.86873212640164,2.6777,7.59,-13.3446,1.4141,2016.0,0.0
"Gaia DR3 2076782889978499840",4985.614,4921.9507,5014.559,0.0566,-0.0397,0.0922,"Gaia DR3 2076782889978499840",296.8609319849194,41.0973152252619,2.4655,-15.4493,-18.6839,-43.7515,2016.0,0.0
