C.D.S.  -  SIMBAD4 rel 1.8  -  2024.01.16CET16:34:38,,
,,
 IdentList,,
----------,,
,,
 # ,typed ident,            identifier             
---,-----------,-----------------------------------
1,KOI-41     ,Gaia DR3 2101733244046205568       
2,KOI-46     ,Gaia DR3 2131709921047710336       
3,KOI-49     ,Gaia DR3 2126801563705846528       
4,KOI-69     ,Gaia DR3 2052747119115620352       
5,KOI-70     ,Gaia DR3 2102548708017562112       
6,KOI-72     ,Gaia DR3 2132155017099178624       
7,KOI-82     ,Gaia DR3 2119583201145735808       
8,KOI-85     ,Gaia DR3 2102119176929154304       
9,KOI-92     ,Gaia DR3 2105135854577044480       
10,KOI-94     ,Gaia DR3 2076970047474270208       
11,KOI-102    ,Gaia DR3 2076121602454770560       
12,KOI-104    ,Gaia DR3 2119602202081351168       
13,KOI-105    ,Gaia DR3 2079192121810035840       
14,KOI-107    ,Gaia DR3 2134798444914611712       
15,KOI-108    ,Gaia DR3 2101243789577188736       
16,KOI-110    ,Gaia DR3 2107236613280607104       
17,KOI-111    ,Gaia DR3 2102454253097554304       
18,KOI-112    ,Gaia DR3 2134719834131370496       
19,KOI-115    ,Gaia DR3 2130368310704421120       
20,KOI-116    ,Gaia DR3 2082074942519913344       
21,KOI-117    ,Gaia DR3 2086625752425381632       
22,KOI-118    ,Gaia DR3 2099605968225288960       
23,KOI-122    ,Gaia DR3 2106705269988803072       
24,KOI-123    ,Gaia DR3 2101175933393051008       
25,KOI-124    ,Gaia DR3 2128925579652377472       
26,KOI-137    ,Gaia DR3 2079295583282164992       
27,KOI-139    ,Gaia DR3 2126569051355142656       
28,KOI-144    ,Gaia DR3 2073277200237694464       
29,KOI-148    ,Gaia DR3 2075112109039378688       
30,KOI-150    ,Gaia DR3 2078722600285671936       
31,KOI-153    ,Gaia DR3 2133369840008452224       
32,KOI-157    ,Gaia DR3 2076960598545789824       
33,KOI-159    ,Gaia DR3 2079368391569401600       
34,KOI-161    ,Gaia DR3 2100597143598879616       
35,KOI-167    ,Gaia DR3 2135044568018500096       
36,KOI-168    ,Gaia DR3 2135019107451751168       
37,KOI-171    ,Gaia DR3 2078272831307891456       
38,KOI-172    ,Gaia DR3 2126436800722944000       
39,KOI-173    ,Gaia DR3 2129753580626548736       
40,KOI-174    ,Gaia DR3 2086629463276947456       
41,KOI-176    ,Gaia DR3 2101719263935952768       
42,KOI-180    ,Gaia DR3 2107243072911617024       
43,KOI-191    ,Gaia DR3 2076692386427776768       
44,KOI-232    ,Gaia DR3 2053070616052194304       
45,KOI-238    ,Gaia DR3 2078697552035948800       
46,KOI-245    ,Gaia DR3 2106674071344722688       
47,KOI-246    ,Gaia DR3 2129550445852902656       
48,KOI-257    ,Gaia DR3 2103452266056715392       
49,KOI-260    ,Gaia DR3 2126918008858627712       
50,KOI-261    ,Gaia DR3 2073731161099713408       
51,KOI-265    ,Gaia DR3 2135314184585149696       
52,KOI-269    ,Gaia DR3 2105620159389754624       
53,KOI-271    ,Gaia DR3 2107266570672734592       
54,KOI-273    ,Gaia DR3 2099541715513813504       
55,KOI-275    ,Gaia DR3 2131494313689868416       
56,KOI-276    ,Gaia DR3 2129495057954829952       
57,KOI-279    ,Gaia DR3 2135590578620605568       
58,KOI-280    ,Gaia DR3 2100392428275714688       
59,KOI-281    ,Gaia DR3 2099656472742686848       
60,KOI-282    ,Gaia DR3 2101305259145506816       
61,KOI-283    ,Gaia DR3 2102110174677569664       
62,KOI-284    ,Gaia DR3 2104466256290759936       
63,KOI-285    ,Gaia DR3 2102224661326132864       
64,KOI-291    ,Gaia DR3 2086718317558873984       
65,KOI-292    ,Gaia DR3 2131216137248338304       
66,KOI-294    ,Gaia DR3 2086940448965828992       
67,KOI-295    ,Gaia DR3 2132215421518219392       
68,KOI-296    ,Gaia DR3 2132325200882204544       
69,KOI-297    ,Gaia DR3 2133611659549905024       
70,KOI-299    ,Gaia DR3 2099862910348755712       
71,KOI-304    ,Gaia DR3 2100906140725803392       
72,KOI-305    ,Gaia DR3 2076871091425583232       
73,KOI-306    ,Gaia DR3 2075161655782111872       
74,KOI-307    ,Gaia DR3 2077598384004774912       
75,KOI-313    ,Gaia DR3 2104847370214740352       
76,KOI-316    ,Gaia DR3 2105362903731391744       
77,KOI-317    ,Gaia DR3 2079005651508492032       
78,KOI-321    ,Gaia DR3 2126601108991279872       
79,KOI-323    ,Gaia DR3 2106821925598401152       
80,KOI-343    ,Gaia DR3 2128724678262662144       
81,KOI-351    ,Gaia DR3 2132193431285570304       
82,KOI-365    ,Gaia DR3 2087171453788422528       
83,KOI-370    ,Gaia DR3 2126237131982289280       
84,KOI-377    ,Gaia DR3 2099925719951103872       
85,KOI-379    ,KOI-379                            
86,KOI-384    ,Gaia DR3 2052168466766597120       
87,KOI-386    ,Gaia DR3 2052185062520374272       
88,KOI-408    ,Gaia DR3 2102063136195478656       
89,KOI-416    ,Gaia DR3 2105435544515167232       
90,KOI-435    ,Gaia DR3 2133022669212268800       
91,KOI-440    ,Gaia DR3 2051105410816218368       
92,KOI-446    ,Gaia DR3 2103295173333142784       
93,KOI-448    ,Gaia DR3 2076764576237957504       
94,KOI-456    ,Gaia DR3 2102587087846067712       
95,KOI-464    ,Gaia DR3 2126454633427425664       
96,KOI-475    ,Gaia DR3 2119814820141727232       
97,KOI-481    ,Gaia DR3 2129025841368107136       
98,KOI-490    ,Gaia DR3 2051933102555095936       
99,KOI-500    ,Gaia DR3 2076328963475704576       
100,KOI-505    ,Gaia DR3 2103788854053938816       
101,KOI-508    ,Gaia DR3 2104098950692667264       
102,KOI-509    ,Gaia DR3 2076955822541823744       
103,KOI-510    ,Gaia DR3 2104506319750394624       
104,KOI-518    ,Gaia DR3 2106008493152187392       
105,KOI-520    ,Gaia DR3 2078286197246582016       
106,KOI-528    ,Gaia DR3 2130634667395736704       
107,KOI-555    ,Gaia DR3 2053546910744629504       
108,KOI-564    ,Gaia DR3 2077556465126659456       
109,KOI-567    ,Gaia DR3 2125831210335846016       
110,KOI-568    ,Gaia DR3 2105618029085927680       
111,KOI-584    ,Gaia DR3 2130243550494676480       
112,KOI-612    ,Gaia DR3 2104094071610116608       
113,KOI-623    ,Gaia DR3 2135179533070399232       
114,KOI-645    ,Gaia DR3 2076601917234347520       
115,KOI-657    ,Gaia DR3 2104376405579347968       
116,KOI-658    ,Gaia DR3 2076792648144511104       
117,KOI-665    ,Gaia DR3 2101898759208960640       
118,KOI-671    ,Gaia DR3 2077750803804146176       
119,KOI-672    ,Gaia DR3 2101964558106974848       
120,KOI-679    ,Gaia DR3 2102610280669509888       
121,KOI-692    ,Gaia DR3 2127001056345369984       
