KOI,Host KOI,Kepler name,Host Gaia DR3 ID,PSR,PSR pe,PSR me
K01944.01,KOI-1944,,2051104586182508928,0.021149,0.000429,0.000694
K00440.01,KOI-440,Kepler-156 c,2051105410816218368,0.02994,0.002592,0.001895
K00440.02,KOI-440,Kepler-156 b,2051105410816218368,0.029844,0.000467,0.004097
K01001.01,KOI-1001,Kepler-264 b,2051738798233021824,0.018577,0.000681,0.002041
K00490.04,KOI-490,Kepler-167 A d,2051933102555095936,0.015719,0.004457,0.001385
K00490.03,KOI-490,Kepler-167 A c,2051933102555095936,0.019899,0.001873,0.001367
K00490.01,KOI-490,Kepler-167 A b,2051933102555095936,0.019357,0.000688,0.000219
K01198.03,KOI-1198,Kepler-275 d,2051950454223150720,0.022012,0.000328,0.001316
K01198.01,KOI-1198,Kepler-275 c,2051950454223150720,0.02368,0.000816,0.000433
K01198.02,KOI-1198,Kepler-275 b,2051950454223150720,0.016067,0.000622,0.00072
K00384.01,KOI-384,Kepler-541 b,2052168466766597120,0.014743,0.001057,0.000705
K00386.02,KOI-386,Kepler-146 c,2052185062520374272,0.025137,0.00051,0.000761
K00386.01,KOI-386,Kepler-146 b,2052185062520374272,0.027888,0.002403,0.000555
K01203.01,KOI-1203,Kepler-276 c,2052304325169514880,0.028153,0.000766,0.001061
K01203.02,KOI-1203,Kepler-276 b,2052304325169514880,0.023584,0.000692,0.001005
K01199.01,KOI-1199,Kepler-786 b,2052392835854583936,0.030245,0.001316,0.000739
K00988.02,KOI-988,Kepler-261 c,2052528625536778624,0.024892,0.000583,0.000737
K00988.01,KOI-988,Kepler-261 b,2052528625536778624,0.026397,0.000633,0.000336
K00800.02,KOI-800,Kepler-234 c,2052688467040906624,0.030183,0.000777,0.000313
K00800.01,KOI-800,Kepler-234 b,2052688467040906624,0.031139,0.000259,0.002531
K00069.01,KOI-69,Kepler-93 b,2052747119115620352,0.015858,0.000197,0.000809
K01102.03,KOI-1102,Kepler-24 e,2052823535171095296,0.019882,0.000849,0.00066
K01102.04,KOI-1102,Kepler-24 d,2052823535171095296,0.013519,0.000141,0.000907
K01860.04,KOI-1860,,2052975370856687744,0.012518,0.000362,0.001043
K01860.03,KOI-1860,,2052975370856687744,0.014335,4.20E-05,0.000751
K01860.02,KOI-1860,Kepler-416 c,2052975370856687744,0.021653,0.000599,0.000324
K01860.01,KOI-1860,Kepler-416 b,2052975370856687744,0.022347,0.000495,0.000285
K00232.05,KOI-232,Kepler-122 f,2053070616052194304,0.017493,0.000327,0.000608
K00232.04,KOI-232,Kepler-122 e,2053070616052194304,0.018653,0.000417,0.003306
K00232.03,KOI-232,Kepler-122 d,2053070616052194304,0.014626,0.000649,0.000322
K00232.02,KOI-232,Kepler-122 b,2053070616052194304,0.01773,0.000331,0.000208
K00555.02,KOI-555,Kepler-598 c,2053546910744629504,0.029698,0.000147,0.001379
K00555.01,KOI-555,Kepler-598 b,2053546910744629504,0.015645,0.000394,0.000569
K01060.04,KOI-1060,Kepler-758 e,2053552270863859712,0.009994,0.000474,0.000538
K01060.03,KOI-1060,Kepler-758 d,2053552270863859712,0.013625,0.000563,0.00055
K01060.02,KOI-1060,Kepler-758 c,2053552270863859712,0.011207,4.40E-05,0.000799
K01060.01,KOI-1060,Kepler-758 b,2053552270863859712,0.015831,0.000406,0.000443
K00841.03,KOI-841,,2053586321364864640,0.029998,0.001692,0.004189
K00144.01,KOI-144,Kepler-472 b,2073277200237694464,0.037569,0.001322,0.00323
K02462.01,KOI-2462,,2073539536845074176,0.008303,0.001535,0.000532
K01563.03,KOI-1563,Kepler-305 e,2073547954981763328,0.020829,0.001253,0.000609
K01563.04,KOI-1563,Kepler-305 d,2073547954981763328,0.030609,0.001823,0.0009
K01563.02,KOI-1563,Kepler-305 c,2073547954981763328,0.038122,2.60E-05,0.006853
K01563.01,KOI-1563,Kepler-305 b,2073547954981763328,0.039932,0.000489,0.003783
K00261.01,KOI-261,Kepler-96 b,2073731161099713408,0.023035,0.000211,0.000198
K01621.01,KOI-1621,Kepler-911 b,2073804411752924288,0.01188,0.000303,0.000159
K00148.03,KOI-148,Kepler-48 d,2075112109039378688,0.021677,0.000617,0.000255
K00148.02,KOI-148,Kepler-48 c,2075112109039378688,0.028013,0.000419,0.000181
K00148.01,KOI-148,Kepler-48 b,2075112109039378688,0.020317,0.001275,0.000493
K00306.01,KOI-306,Kepler-519 A b,2075161655782111872,0.023699,0.000582,0.000246
K00102.01,KOI-102,,2076121602454770560,0.027951,0.000146,6.10E-05
K00500.04,KOI-500,Kepler-80 e,2076328963475704576,0.022063,0.003486,0.000889
K00500.03,KOI-500,Kepler-80 d,2076328963475704576,0.021529,0.002915,0.001146
K01557.04,KOI-1557,Kepler-304 e,2076565805151925760,0.014669,0.000688,0.000301
K01557.02,KOI-1557,Kepler-304 d,2076565805151925760,0.033395,0.001168,0.000763
K01557.03,KOI-1557,Kepler-304 c,2076565805151925760,0.028789,0.00122,0.000643
K01557.01,KOI-1557,Kepler-304 b,2076565805151925760,0.039028,0.003487,0.00081
K00645.02,KOI-645,,2076601917234347520,0.014509,0.000428,0.000264
K00645.01,KOI-645,Kepler-633 b,2076601917234347520,0.012871,0.000356,0.000411
K00191.02,KOI-191,,2076692386427776768,0.029317,0.000311,0.003934
K00191.04,KOI-191,Kepler-487 c,2076692386427776768,0.02761,0.000866,0.004959
K00448.01,KOI-448,Kepler-159 b,2076764576237957504,0.034286,1.00E-05,0.002528
K01050.02,KOI-1050,Kepler-755 A c,2076782889978499840,0.015337,0.000429,0.000384
K01050.01,KOI-1050,Kepler-755 A b,2076782889978499840,0.021192,0.000276,0.003628
K00658.03,KOI-658,Kepler-203 d,2076792648144511104,0.012452,0.002643,0.000448
