Gaia DR3 ID,Teff,Teff pe,Teff me,Radius,Rad pe,Rad me,Metalicity,Metal pe,Metal me,Parallax,Parallax e,G-Mag,Logg,logg pe,Logg me
1044013542142711296,3601.738,4.21,6.0947,0.56619704,0.0313158,0.03135204,-0.1009,0.0342,0.0465,12.54648141,0.013927378,13.633956,4.6461,0.0042,0.0076
1053809778428567680,,,,,,,,,,13.62264173,0.014727684,11.565513,,,
1074139748425931008,5364.139,12.0964,19.2386,0.96462107,0.01979583,0.01981992,0.3159,0.0117,0.0173,6.70424447,0.012559627,10.989216,4.4623,0.0046,0.0064
1076970406751899008,6437.147,1.2436,1.0532,1.478384,0.0296855,0.029684,-0.0366,0.0079,0.0071,10.32176015,0.018026635,8.24857,4.1884,0.0019,0.0018
1111639314047794944,6056.1055,3.2221,1.5059,1.2932814,0.0269754,0.0269251,-0.0286,0.0038,0.0043,3.074337887,0.020112157,11.409017,4.2878,0.0049,0.0134
111322601672419712,5040.7104,87.9659,53.5254,1.068451,0.0076677,0.0064874,-0.2544,0.1065,0.0519,3.312782878,0.017776499,12.832714,4.3441,0.0233,0.0269
1117620107545810944,5885.8667,3.397,2.4327,1.438147,0.0294495,0.029287,0.3149,0.0022,0.002,2.356758501,0.010788254,12.024529,4.2059,0.0049,0.0036
1126422935076082176,,,,,,,,,,20.63547543,0.018971704,14.74585,,,
1255520718461480960,5694.083,2.4917,1.8506,1.4080441,0.0290407,0.0290682,-0.0327,0.0052,0.0048,2.148865921,0.012602167,12.297648,4.2388,0.0043,0.0036
1316708918505350528,5848.95,8.3225,7.0467,0.91881096,0.01870494,0.01871076,-0.021,0.009,0.006,6.148872123,0.013609672,11.003223,4.5317,0.0021,0.005
1331356474971716992,5974.0513,1.8237,1.3638,1.4971453,0.0300336,0.0300217,0.0281,0.0053,0.0052,13.12031098,0.016170053,8.026566,4.118,0.0018,0.0017
1344163891352965632,5992.018,9.8834,1.75,2.9059532,0.0589408,0.0587426,-0.2277,0.0018,0.0039,4.420168901,0.012652458,8.94528,3.6662,0.005,0.0043
1416731285125373184,6151.7153,17.7554,21.3066,1.6940048,0.0357334,0.0354957,0.0051,0.0138,0.0197,1.830466955,0.011940389,11.909978,4.112,0.0041,0.0042
1424011082893734272,5903.319,3.3807,2.171,1.3055764,0.0271818,0.0277959,-0.1756,0.0062,0.0059,1.704171527,0.010691544,12.810718,4.1877,0.0051,0.0052
145333927996558976,4181.3286,3.5684,11.4456,0.55484647,0.01978808,0.01978227,-0.2162,0.0051,0.0147,13.71130975,0.015370281,12.241566,4.7107,0.0017,0.0093
1464700950221781504,6204.659,36.499,10.346,1.6483556,0.0345359,0.0340151,-0.4268,0.039,0.0139,4.106155807,0.017634887,10.197724,4.0163,0.0239,0.0084
