Gaia DR3 ID,Teff,Teff pe,Teff me,Radius,Rad pe,Rad me,Metalicity,Metal pme
1044013542142711296,,,,,,,,
1053809778428567680,,,,,,,,
1074139748425931008,,,,,,,,
1076970406751899008,,,,,,,,
1111639314047794944,,,,,,,,
111322601672419712,,,,,,,,
1117620107545810944,,,,,,,,
1126422935076082176,,,,,,,,
1255520718461480960,,,,,,,,
1316708918505350528,,,,,,,,
1331356474971716992,,,,,,,,
1344163891352965632,,,,,,,,
1416731285125373184,,,,,,,,
1424011082893734272,,,,,,,,
145333927996558976,,,,,,,,
1464700950221781504,,,,,,,,
1476485996883837184,,,,,,,,
148080473682357376,,,,,,,,
1491634483976350720,,,,,,,,
1499514786891168640,,,,,,,,
1587399232335653760,,,,,,,,
1675923009431370880,,,,,,,,
1716345832872291968,,,,,,,,
1725490333641502976,,,,,,,,
1737061349198867456,,,,,,,,
1744911763437512064,,,,,,,,
1750321012752775040,,,,,,,,
1779546757669063552,,,,,,,,
179498266829041664,,,,,,,,
1808938730710633984,,,,,,,,
181908842994567936,,,,,,,,
1835842749465226368,,,,,,,,
1849786481032616960,,,,,,,,
1909762228985058944,,,,,,,,
1925321658551399040,,,,,,,,
1962153854973972096,,,,,,,,
2009481748875806976,,,,,,,,
2033123654092592384,,,,,,,,
2048464796210957440,,,,,,,,
2051027792165858304,,,,,,,,
2051104586182508928,,,,1.51,0.01,0.01,,
2051105410816218368,,,,,,,,
2051368434612892800,,,,,,,,
2051738798233021824,,,,,,,,
2051866238502437632,,,,,,,,
2051933102555095936,,,,0.91,0.02,0.02,,
2051950454223150720,,,,,,,,
2052136821446989568,,,,,,,,
2052139123549626240,,,,,,,,
2052168466766597120,,,,1.07,0.01,0.01,,
2052185062520374272,,,,,,,,
2052304325169514880,,,,1.4,0.01,0.01,,
2052392835854583936,,,,1.05,0.03,0.03,,
2052528625536778624,,,,,,,,
2052688467040906624,,,,,,,,
2052747119115620352,5669,75,75,,,,-0.18,0.1
2052823535171095296,,,,,,,,
2052826318309391104,,,,,,,,
2052975370856687744,,,,1.6,0.04,0.04,,
2053070616052194304,,,,1.45,0.01,0.01,,
2053546910744629504,,,,,,,,
2053552270863859712,,,,,,,,
2053562475706063744,,,,,,,,
2053586321364864640,,,,,,,,
2054523105274216704,,,,,,,,
2056007995732413312,,,,,,,,
2073153024144692736,,,,,,,,
2073274618947678464,,,,,,,,
2073277200237694464,,,,,,,,
2073539536845074176,6007,120,120,,,,0.05,0.15
2073547954981763328,,,,1.41,0.05,0.05,,
